counts	instances_pre	instances_post
1	959063	791193
2	125171	110726
3	56366	51573
4	39027	36283
5	31428	29806
6	27635	26293
7	23723	22751
8	21669	20832
9	19943	19257
10	18241	17793
11	17706	17086
12	16201	15846
13	15225	14905
14	14641	14265
15	13660	13466
16	13060	12746
17	12266	12054
18	12176	11971
19	10998	10923
20	11034	10893
21	10665	10519
22	10309	10057
23	10303	10078
24	9585	9648
25	9234	9176
26	9036	9014
27	8516	8413
28	8443	8411
29	7906	7911
30	8061	7911
31	7931	7977
32	7540	7442
33	7641	7596
34	7337	7308
35	7326	7262
36	7055	7056
37	6830	6787
38	6654	6634
39	6667	6563
40	6620	6543
41	6279	6293
42	6345	6376
43	6258	6135
44	5966	6030
45	5925	5945
46	5997	5867
47	5673	5746
48	5619	5534
49	5486	5513
50	5550	5446
51	5441	5470
52	5151	5239
53	4989	4937
54	4955	5000
55	5018	4987
56	4932	4946
57	4956	4884
58	4733	4849
59	4777	4688
60	4700	4748
61	4544	4546
62	4433	4435
63	4350	4331
64	4558	4529
65	4263	4354
66	4134	4197
67	4048	4068
68	4006	3944
69	3945	3953
70	3897	3974
71	3858	3817
72	3659	3775
73	3559	3508
74	3525	3436
75	3348	3535
76	3287	3372
77	3252	3272
78	3105	3153
79	3014	3052
80	2948	3017
81	2839	2878
82	2786	2823
83	2594	2719
84	2582	2554
85	2569	2507
86	2370	2453
87	2210	2242
88	2125	2183
89	2090	2101
90	2002	2063
91	1867	1943
92	1834	1912
93	1756	1719
94	1587	1652
95	1587	1580
96	1584	1648
97	1444	1553
98	1331	1355
99	1399	1384
100	1281	1330
101	1292	1309
102	1081	1160
103	1106	1096
104	1022	1058
105	967	1039
106	921	927
107	940	923
108	859	922
109	863	862
110	873	879
111	821	838
112	801	837
113	814	795
114	722	723
115	739	743
116	676	724
117	727	710
118	669	712
119	705	678
120	656	624
121	654	688
122	595	626
123	584	652
124	552	526
125	598	571
126	598	595
127	522	569
128	544	558
129	568	560
130	525	527
131	453	487
132	470	493
133	523	511
134	493	500
135	463	476
136	433	458
137	391	438
138	427	434
139	416	390
140	432	429
141	374	397
142	408	400
143	409	425
144	390	411
145	369	379
146	386	361
147	400	362
148	330	359
149	340	364
150	334	344
151	295	328
152	308	305
153	286	340
154	312	268
155	288	308
156	251	241
157	289	284
158	259	281
159	263	276
160	248	255
161	189	222
162	211	226
163	198	198
164	183	200
165	211	196
166	214	214
167	179	180
168	166	206
169	146	151
170	164	168
171	184	154
172	134	160
173	158	156
174	126	143
175	129	152
176	99	122
177	124	125
178	112	114
179	97	104
180	99	116
181	85	90
182	72	93
183	71	79
184	82	63
185	59	78
186	73	63
187	76	76
188	65	57
189	63	66
190	51	59
191	44	59
192	54	67
193	53	49
194	52	51
195	40	38
196	34	45
197	36	31
198	37	38
199	25	37
200	29	30
201	31	26
202	19	27
203	24	31
204	16	24
205	17	19
206	17	20
207	21	14
208	11	17
209	13	17
210	20	10
211	13	12
212	9	25
213	11	8
214	14	14
215	4	3
216	2	9
217	8	2
218	9	8
219	9	11
220	5	7
221	7	9
222	8	7
223	8	8
224	7	7
225	5	8
226	4	7
227	6	6
228	1	7
229	4	1
230	3	5
231	5	3
232	1	3
233	1	3
234	1	1
235	4	1
236	1	1
237	1	1
238	1	0
239	0	1
240	2	2
241	0	2
242	1	0
243	2	2
244	1	1
245	3	0
246	0	2
247	1	1
248	1	1
249	0	2
250	1	1
251	0	2
252	1	2
254	2	2
256	1	1
257	1	2
259	2	1
260	1	2
261	0	3
262	1	2
263	0	1
264	0	1
266	0	1
269	2	2
271	0	1
274	1	2
276	2	1
277	1	2
278	0	1
281	0	1
284	0	1
288	2	2
289	0	1
291	1	0
292	1	0
295	1	0
296	1	1
299	2	2
301	0	1
304	1	0
305	1	0
306	0	1
307	0	1
314	0	1
315	0	1
316	0	1
318	1	2
328	0	1
330	2	1
336	1	1
337	1	0
338	1	1
339	2	2
348	0	2
349	0	1
351	0	1
354	0	1
361	1	1
367	1	0
370	0	1
379	1	0
383	1	2
385	1	0
387	0	1
394	0	1
400	0	1
401	0	1
406	0	1
415	0	1
426	0	1
442	1	0
449	0	1
453	0	1
461	0	1
470	0	2
485	0	1
496	0	1
537	0	1
544	0	1
551	0	1
564	0	1
620	0	1
631	0	1
641	0	1
692	0	1
696	0	1
710	0	1
756	0	1
778	0	1
802	0	1
806	0	1
807	0	1
826	0	1
829	0	1
852	0	1
916	0	1
917	0	1
946	0	4
977	0	1
1015	0	1
1158	0	1
1161	0	1
1163	0	1
1174	0	1
1190	0	1
1491	0	1
1614	0	1
1670	0	1
1696	0	1
1697	0	1
1792	0	1
1793	0	1
1982	0	1
2157	0	1
2628	0	1
3730	0	1
3976	0	1
6142	0	1
9870	0	1
16854	0	1
