counts	instances_pre	instances_post
1	926642	735787
2	139044	121146
3	75533	69314
4	58203	54605
5	48170	46151
6	42490	40853
7	38473	37363
8	35019	34052
9	32054	31093
10	29099	28378
11	27130	26582
12	25581	25002
13	23797	23524
14	22024	21648
15	20881	20565
16	19912	19680
17	18616	18302
18	17883	17742
19	16686	16547
20	16106	15893
21	15517	15372
22	14863	14552
23	14306	14213
24	13899	13806
25	12977	13066
26	13053	12765
27	11915	11918
28	11930	11819
29	11278	11279
30	11181	11188
31	10708	10615
32	10319	10153
33	9955	9884
34	9623	9568
35	9408	9445
36	9216	9152
37	8593	8640
38	8794	8683
39	8336	8369
40	7859	7989
41	7787	7754
42	7612	7601
43	7199	7290
44	7207	7069
45	6809	6815
46	6598	6600
47	6352	6335
48	6450	6482
49	6051	5985
50	5957	6104
51	5711	5683
52	5470	5595
53	5499	5376
54	5302	5376
55	5152	5071
56	5019	5033
57	4951	4936
58	4751	4779
59	4614	4691
60	4426	4495
61	4346	4366
62	4339	4376
63	4066	4030
64	4039	4070
65	3844	3796
66	3755	3747
67	3575	3695
68	3585	3486
69	3382	3507
70	3367	3376
71	3267	3278
72	3148	3204
73	2974	3024
74	2959	3015
75	2819	2852
76	2744	2745
77	2674	2742
78	2559	2609
79	2469	2444
80	2452	2444
81	2335	2410
82	2248	2247
83	2160	2231
84	2196	2113
85	2070	2113
86	1955	2018
87	1998	1997
88	1843	1907
89	1776	1850
90	1794	1765
91	1710	1741
92	1577	1606
93	1555	1558
94	1478	1535
95	1443	1458
96	1372	1384
97	1339	1402
98	1404	1369
99	1205	1276
100	1193	1219
101	1188	1236
102	1180	1174
103	1166	1179
104	1075	1102
105	1019	1066
106	997	1024
107	985	964
108	913	949
109	930	918
110	841	867
111	823	861
112	785	761
113	794	816
114	791	797
115	766	776
116	681	760
117	788	722
118	624	706
119	677	649
120	664	667
121	665	675
122	635	661
123	632	602
124	595	620
125	499	562
126	503	498
127	496	492
128	497	533
129	460	447
130	444	445
131	463	441
132	497	487
133	432	469
134	438	436
135	398	421
136	425	418
137	370	394
138	387	385
139	357	363
140	369	362
141	329	357
142	337	336
143	305	335
144	296	305
145	300	303
146	268	280
147	306	298
148	281	279
149	242	272
150	269	240
151	232	246
152	230	260
153	198	215
154	229	217
155	195	175
156	206	212
157	166	197
158	186	209
159	149	165
160	166	159
161	161	163
162	179	179
163	150	152
164	150	148
165	125	127
166	136	139
167	109	144
168	115	118
169	120	116
170	112	115
171	108	101
172	89	96
173	97	105
174	94	96
175	84	93
176	83	75
177	87	89
178	86	93
179	70	83
180	73	65
181	62	64
182	57	54
183	64	64
184	56	57
185	59	64
186	68	60
187	41	53
188	54	57
189	43	34
190	30	40
191	45	32
192	32	31
193	36	51
194	25	32
195	28	24
196	25	27
197	28	22
198	27	28
199	17	27
200	24	25
201	15	21
202	20	15
203	20	18
204	19	18
205	16	17
206	16	16
207	18	15
208	22	20
209	11	13
210	11	15
211	7	8
212	14	12
213	11	6
214	7	10
215	5	10
216	7	3
217	11	6
218	4	6
219	6	6
220	3	4
221	5	3
222	6	3
223	5	4
224	6	4
225	6	3
226	8	7
227	2	5
228	3	7
229	8	3
230	4	3
231	3	5
232	3	3
233	5	0
234	3	1
235	3	1
236	4	3
237	2	2
238	1	3
239	3	3
240	3	2
241	1	2
242	4	1
243	2	3
244	1	1
245	2	1
246	3	1
247	2	0
248	2	4
249	4	1
250	2	2
251	2	0
253	5	2
254	0	2
255	2	0
256	1	0
259	3	0
260	4	0
261	1	1
264	3	0
265	1	1
266	2	2
267	1	2
269	1	0
270	1	0
271	0	1
272	0	1
273	1	0
274	1	0
276	1	1
277	1	1
278	1	1
279	3	0
280	0	1
281	1	0
283	1	0
284	1	0
285	1	0
286	0	1
288	0	1
289	1	0
294	1	0
295	1	0
298	1	1
302	1	1
305	2	2
307	3	0
308	1	1
312	1	1
313	1	0
314	1	2
317	2	0
318	2	1
319	0	1
320	0	1
321	1	0
323	0	1
324	0	1
325	0	1
326	1	0
329	1	0
330	1	1
331	1	0
332	1	0
334	1	0
336	0	1
337	1	0
338	1	0
342	2	0
343	0	2
345	0	1
347	1	0
348	1	0
350	1	1
351	1	2
355	1	0
358	0	1
360	0	1
364	0	2
365	0	2
366	0	1
367	1	1
370	1	1
371	0	1
372	1	0
375	1	0
376	0	2
378	0	1
381	0	1
383	0	1
384	0	1
386	1	0
393	0	1
400	1	0
401	1	0
404	1	0
406	2	0
409	0	1
410	0	2
416	1	0
419	0	1
421	0	1
422	2	0
424	1	0
432	0	2
433	1	0
435	1	0
436	1	0
438	1	0
439	0	1
442	0	1
444	2	0
446	1	1
450	1	0
454	1	0
455	0	1
456	0	1
459	0	2
461	2	0
462	1	0
464	0	1
465	0	1
469	0	1
472	1	0
476	0	1
478	0	1
486	0	1
496	0	1
500	1	0
504	1	0
506	0	1
509	0	1
514	0	1
518	1	0
519	0	1
520	1	0
526	0	1
529	0	1
533	0	1
535	1	0
536	1	1
548	0	1
552	0	1
554	0	1
560	0	1
576	1	0
578	0	1
583	1	0
645	0	1
677	0	1
689	1	0
706	1	0
729	1	0
737	1	0
743	0	1
752	0	1
765	1	0
770	1	0
774	0	1
794	1	0
808	1	0
809	0	1
826	0	1
852	0	1
859	1	0
860	0	1
876	0	1
904	1	0
909	0	1
917	0	1
926	1	0
935	0	1
939	0	1
973	0	1
1006	0	1
1008	1	0
1071	0	1
1099	1	0
1234	1	0
1235	0	1
1271	0	1
1285	0	1
1339	0	1
1379	0	1
1418	0	1
1434	0	1
1465	1	0
1496	1	0
1503	1	0
1566	0	1
1590	0	4
1595	0	1
1636	0	1
1656	0	1
1690	0	1
1836	0	1
1919	0	1
2269	0	1
2847	0	1
2848	0	1
5524	0	1
8519	1	0
180697	0	1
