counts	instances_pre	instances_post
1	1823049	1562858
2	380947	358770
3	273188	262889
4	240340	233657
5	227453	223267
6	224534	221331
7	224170	220960
8	227627	226052
9	229407	227595
10	228956	228087
11	225715	224792
12	218675	218320
13	209741	209763
14	199840	199727
15	188663	188846
16	177680	177759
17	167056	166907
18	159058	159453
19	149030	149100
20	142178	142933
21	134651	135030
22	127852	128239
23	119823	120527
24	112420	113122
25	103065	103948
26	94393	95239
27	84320	85529
28	75280	76248
29	65717	66822
30	57050	57935
31	48690	49692
32	41372	42165
33	34587	35263
34	28756	29458
35	23212	23824
36	18447	19057
37	14913	15329
38	11752	12026
39	9247	9552
40	7058	7336
41	5495	5673
42	4159	4334
43	3219	3325
44	2509	2602
45	1707	1783
46	1390	1440
47	934	973
48	790	808
49	506	540
50	469	478
51	306	340
52	294	308
53	139	149
54	162	163
55	110	108
56	123	128
57	60	67
58	77	78
59	29	31
60	81	83
61	22	21
62	51	54
63	26	30
64	32	35
65	11	12
66	33	33
67	12	13
68	23	23
69	13	12
70	21	24
71	4	4
72	16	17
73	5	6
74	9	10
75	6	5
76	10	13
77	3	3
78	8	6
79	2	2
80	5	6
81	8	4
82	8	8
83	1	2
84	4	6
85	2	2
86	5	4
87	1	1
88	4	4
90	4	4
93	2	2
95	0	1
96	1	1
99	1	1
104	1	1
108	3	3
113	1	1
114	1	0
116	1	1
117	0	1
118	1	1
123	1	0
141	1	0
149	1	0
197	1	0
521	1	0
8656	0	1
