counts	instances_pre	instances_post
1	8916012	8640387
2	4780131	4789801
3	2509323	2532705
4	1198427	1213820
5	520171	530874
6	213667	218820
7	81625	84022
8	30680	31611
9	10580	10971
10	4066	4201
11	1294	1325
12	721	710
13	183	173
14	156	141
15	51	31
16	76	51
17	30	5
18	31	20
19	36	8
20	31	17
21	15	9
22	16	2
23	7	2
24	13	6
25	12	4
26	8	3
27	6	4
28	10	3
29	10	4
30	5	1
31	4	0
32	6	0
33	8	0
34	3	1
35	5	3
36	5	2
37	4	2
38	3	0
39	1	1
40	3	3
41	3	1
42	1	0
43	3	1
44	5	1
45	2	0
46	3	1
47	5	1
48	1	0
49	1	0
50	1	0
52	1	0
53	1	0
54	0	2
55	1	0
56	1	0
57	0	2
58	1	0
59	3	0
62	3	0
63	1	1
64	3	1
65	2	0
66	0	1
67	1	0
68	1	0
69	1	1
71	1	0
73	1	4
75	0	1
76	1	0
78	0	1
80	1	0
83	2	0
84	1	0
86	0	2
87	1	0
88	1	0
94	0	1
97	0	1
101	0	1
111	1	0
113	0	1
115	0	1
118	0	1
125	0	1
128	1	0
130	0	1
138	1	1
144	1	0
157	1	0
166	1	0
173	0	1
179	1	0
181	0	1
192	0	2
264	0	1
266	0	1
371	1	0
1035	0	1
15722	0	1
