counts	instances_pre	instances_post
1	13501770	13229562
2	5745215	5771947
3	2333958	2362790
4	876920	890407
5	303672	311467
6	101228	104133
7	30799	31824
8	10367	10792
9	2892	3035
10	1074	1100
11	293	263
12	268	252
13	54	36
14	64	53
15	45	26
16	53	35
17	24	5
18	32	11
19	19	6
20	16	5
21	20	3
22	14	0
23	12	2
24	10	0
25	9	1
26	9	2
27	7	0
28	9	2
29	6	0
30	7	0
31	8	0
32	6	0
33	8	4
34	10	1
35	5	4
36	8	0
37	3	1
38	6	0
39	7	0
40	6	0
41	3	0
42	5	0
43	6	0
44	4	1
45	5	0
46	5	0
47	0	2
48	3	0
49	4	0
50	3	0
51	2	0
52	8	2
53	2	0
54	5	0
55	2	0
56	4	0
57	4	0
59	2	0
60	2	0
61	1	0
63	2	2
64	3	0
65	3	0
66	3	0
67	6	0
68	4	0
69	2	0
70	2	0
71	5	0
72	2	0
73	2	0
74	1	0
75	6	1
77	3	0
78	3	0
79	1	0
80	2	0
82	4	0
83	1	0
84	1	0
85	2	0
86	1	0
87	2	0
88	1	0
89	2	1
91	2	0
92	1	0
93	2	0
94	2	2
95	2	0
96	3	2
97	1	0
98	3	0
99	3	0
101	1	0
102	1	0
103	1	0
104	1	1
105	1	0
106	1	0
107	1	0
109	3	0
110	2	0
112	1	0
113	2	0
115	0	1
116	1	0
117	0	1
118	0	1
119	1	0
121	1	0
122	1	0
126	1	1
127	2	0
128	3	0
129	1	1
130	1	1
131	1	0
133	1	0
137	1	2
138	1	0
139	1	0
140	0	1
143	1	0
145	1	0
148	2	0
151	1	0
152	2	0
156	3	0
159	1	0
161	1	0
162	1	0
164	1	0
165	2	0
166	1	0
168	1	0
169	2	0
170	1	0
173	1	0
176	2	0
180	0	2
183	0	1
187	0	4
192	1	0
193	1	0
194	1	0
196	1	0
202	1	0
213	1	0
228	1	0
232	1	0
234	0	1
236	1	0
244	1	0
245	1	0
246	1	0
248	1	0
256	0	1
261	1	0
265	1	0
274	1	0
283	1	0
285	0	1
287	1	0
295	1	0
325	0	1
327	0	2
332	0	1
337	0	1
339	1	0
348	1	0
360	0	1
363	0	1
367	0	1
384	0	1
406	0	1
444	0	1
479	1	0
499	1	0
547	0	1
629	1	0
715	0	1
786	1	0
1393	0	1
2709	0	1
6630	0	1
8627	0	1
13166	0	1
