counts	instances_pre	instances_post
1	2620150	2166680
2	443346	405461
3	232763	219695
4	163430	155937
5	128362	123777
6	106984	103452
7	93248	90297
8	84385	81908
9	77620	75600
10	73141	71353
11	70422	68810
12	67915	66499
13	67213	65535
14	66103	64842
15	67170	65831
16	67949	66892
17	68877	67910
18	71100	69999
19	72858	71962
20	74718	73886
21	76429	75596
22	76600	76046
23	76869	76770
24	77022	76759
25	75321	75341
26	74026	74203
27	71975	71949
28	69457	69562
29	66316	66613
30	63669	63912
31	59722	59965
32	56604	56706
33	54188	54353
34	51390	51681
35	48948	49078
36	46891	47009
37	45324	45275
38	43731	43820
39	42413	42477
40	41876	41720
41	40561	40747
42	39945	40065
43	39799	39842
44	39069	38972
45	38825	38902
46	38038	38350
47	37281	37426
48	36740	36985
49	35763	36240
50	34369	34593
51	33544	33946
52	32325	32717
53	30752	31251
54	29544	29868
55	27522	28032
56	26409	26910
57	24480	25065
58	22874	23331
59	21674	22091
60	19782	20336
61	18044	18683
62	16712	17191
63	15211	15611
64	13985	14322
65	12414	12863
66	11358	11613
67	10100	10506
68	8875	9258
69	7805	8055
70	7207	7428
71	6409	6719
72	5494	5816
73	4907	5174
74	4287	4364
75	3850	3939
76	3351	3512
77	2967	3091
78	2585	2774
79	2252	2338
80	2094	2215
81	1711	1764
82	1496	1527
83	1275	1413
84	1066	1065
85	949	1021
86	921	957
87	710	727
88	651	672
89	519	546
90	506	509
91	459	470
92	363	394
93	287	308
94	267	279
95	233	237
96	214	235
97	170	172
98	190	161
99	132	147
100	120	114
101	112	100
102	123	126
103	91	100
104	79	70
105	61	54
106	55	65
107	61	63
108	57	45
109	36	34
110	53	51
111	36	30
112	41	39
113	27	22
114	29	23
115	22	23
116	26	27
117	22	13
118	29	26
119	18	14
120	24	24
121	11	8
122	25	23
123	16	14
124	18	17
125	13	9
126	22	19
127	11	6
128	15	13
129	6	7
130	23	17
131	7	7
132	10	7
133	10	7
134	13	11
135	9	4
136	6	3
137	9	5
138	8	4
139	8	6
140	5	3
141	5	4
142	8	7
143	4	3
144	12	9
145	7	5
146	8	6
147	4	3
148	3	1
149	7	2
150	10	7
151	6	3
152	4	3
153	3	4
154	6	6
155	4	2
156	6	3
157	0	2
158	3	0
159	5	4
160	4	2
161	4	2
162	7	3
163	9	0
164	6	4
165	5	1
166	1	1
167	4	2
168	8	3
169	3	1
170	3	3
171	3	1
172	3	1
173	1	2
174	3	1
175	4	2
176	5	3
177	1	1
178	0	2
179	1	0
180	0	1
181	2	2
182	4	4
183	1	0
184	1	0
185	4	2
186	3	2
187	3	0
188	3	1
189	0	1
190	4	2
191	4	1
192	0	1
193	3	0
194	1	0
196	1	1
197	2	2
198	6	1
199	0	3
200	4	0
201	1	1
202	2	1
204	2	0
205	5	2
206	1	1
207	4	5
208	1	2
209	1	1
210	3	3
211	2	2
212	1	0
214	1	0
216	4	1
217	2	2
218	1	1
219	2	2
220	3	1
222	2	2
223	2	2
224	1	0
225	3	1
226	2	2
227	1	1
228	1	1
229	4	0
230	3	0
231	1	0
233	2	0
234	1	0
235	1	0
236	1	1
237	2	0
238	1	2
239	0	1
240	2	0
242	2	0
244	1	2
245	1	0
246	1	0
247	1	0
248	1	1
249	1	2
250	1	0
251	3	0
252	0	2
254	3	0
256	1	0
257	0	1
259	3	2
261	2	0
262	1	1
263	1	1
264	0	1
266	1	0
269	1	0
270	1	0
271	1	1
272	1	0
273	0	1
276	1	0
277	1	0
278	0	2
279	1	0
280	2	1
281	1	0
282	0	1
283	0	1
286	1	0
288	1	1
289	0	1
291	2	0
293	0	1
296	0	1
297	1	0
299	0	1
300	1	0
303	3	0
304	1	0
306	1	2
308	0	1
310	0	1
311	0	1
313	1	1
314	1	1
316	1	0
318	1	0
319	2	1
322	1	0
323	0	1
324	0	1
329	1	1
331	1	0
332	1	0
335	0	1
336	0	2
339	1	0
346	1	0
347	1	0
348	2	1
350	0	1
351	0	1
353	0	1
354	1	0
358	1	1
363	1	0
366	1	0
368	0	1
371	0	1
378	0	1
380	1	1
381	1	0
382	0	1
383	1	0
384	1	0
385	1	1
388	0	1
392	0	1
397	0	2
402	0	2
405	1	0
409	1	0
410	0	1
418	0	1
421	2	0
424	1	1
426	0	1
431	0	1
433	0	1
434	1	0
440	0	1
445	0	1
447	0	1
450	0	1
452	1	0
455	0	1
479	0	1
488	0	1
489	0	1
494	1	0
502	0	1
503	0	1
504	1	0
507	0	1
508	1	0
511	1	0
513	0	1
516	0	2
518	1	0
520	0	1
521	0	1
522	0	1
523	0	1
524	0	1
526	0	1
527	0	2
