counts	instances_pre	instances_post
1	11916924	11398774
2	7051036	7041172
3	4433361	4462073
4	2546735	2572094
5	1337146	1361403
6	659493	673554
7	301175	308308
8	133160	137419
9	55719	57588
10	23640	24320
11	8831	9156
12	4297	4324
13	1561	1498
14	1052	975
15	606	485
16	487	410
17	296	217
18	306	232
19	248	181
20	280	236
21	195	152
22	178	132
23	198	147
24	164	121
25	154	102
26	139	96
27	125	77
28	99	64
29	108	72
30	90	62
31	75	37
32	58	32
33	59	34
34	46	27
35	49	27
36	40	21
37	41	19
38	29	15
39	29	17
40	25	5
41	22	4
42	17	4
43	20	4
44	24	3
45	22	7
46	19	7
47	16	4
48	23	11
49	18	5
50	21	6
51	14	4
52	11	2
53	11	1
54	15	6
55	15	3
56	18	3
57	14	6
58	13	4
59	9	2
60	15	5
61	17	4
62	16	4
63	13	5
64	6	5
65	10	2
66	14	2
67	10	6
68	8	3
69	9	3
70	13	6
71	9	3
72	5	3
73	5	3
74	10	5
75	7	3
76	8	2
77	12	2
78	7	3
79	10	0
80	9	2
81	10	6
82	8	2
83	7	4
84	5	3
85	3	3
86	5	6
87	5	5
88	7	1
89	5	1
90	8	6
91	9	2
92	7	0
93	7	1
94	3	2
95	3	1
96	6	3
97	1	2
98	1	4
99	5	2
100	4	0
101	2	1
102	0	3
103	1	2
104	3	4
105	10	2
106	2	0
107	1	4
108	9	4
109	1	1
110	3	4
111	2	1
112	7	2
113	2	3
114	1	2
115	3	1
116	3	1
117	3	2
118	3	2
119	3	3
120	1	0
121	1	0
122	2	0
123	1	2
124	3	1
125	2	0
126	0	1
127	2	2
128	3	3
129	3	1
130	2	0
131	1	2
132	0	1
133	1	1
134	1	5
135	0	1
136	0	2
137	1	1
138	0	1
140	1	1
141	0	2
142	2	3
143	2	1
144	1	2
145	1	0
147	0	2
148	2	1
149	0	4
150	0	1
151	0	1
152	2	1
153	0	1
154	1	1
156	0	1
157	0	1
158	1	0
159	1	2
160	1	1
162	0	1
163	1	0
166	1	0
168	0	1
169	1	3
171	2	0
173	0	1
174	1	0
176	0	1
177	0	1
178	0	1
180	0	2
181	0	3
183	0	1
184	1	0
185	1	0
188	1	0
189	0	1
191	0	2
193	1	0
197	1	0
200	1	0
201	1	0
205	0	1
208	1	1
209	0	1
210	0	1
211	0	1
215	0	2
216	1	1
218	0	1
220	1	1
223	1	1
224	1	0
227	0	2
229	1	0
231	0	1
236	0	2
239	1	0
242	0	2
244	0	1
247	1	1
250	0	1
255	0	1
257	0	2
260	1	0
262	1	0
263	0	1
278	0	1
279	0	1
280	0	1
283	0	1
292	0	1
299	1	0
300	0	1
305	0	1
316	1	1
330	0	1
333	1	0
335	0	1
339	0	1
341	1	1
344	0	1
353	0	1
354	0	1
363	0	1
371	1	1
393	0	1
403	0	1
410	0	1
413	1	0
415	0	2
426	0	1
446	0	1
453	0	1
459	0	1
475	0	1
481	0	1
487	0	1
504	0	1
520	0	1
524	0	1
547	0	1
548	1	0
554	0	1
580	0	4
593	0	1
617	0	1
621	0	1
630	0	1
664	0	1
671	0	1
673	0	1
687	0	1
757	0	1
816	0	1
827	0	1
924	0	1
935	0	2
1000	0	1
1013	0	1
1064	1	0
1693	0	1
12636	0	1
44603	0	1
