counts	instances_pre	instances_post
1	2017477	1811320
2	644808	627746
3	457308	449633
4	358320	354027
5	290440	288497
6	241353	240153
7	202837	202010
8	171710	171492
9	146438	146435
10	125586	125833
11	108511	108872
12	93030	93600
13	80062	80326
14	68808	69362
15	58825	59409
16	50670	51111
17	43544	43951
18	37531	37990
19	32435	32713
20	28047	28484
21	23840	24191
22	20379	20716
23	17473	17742
24	15079	15427
25	12843	12954
26	10972	11334
27	9397	9518
28	7932	8151
29	6762	6848
30	5791	5972
31	4938	4942
32	4235	4341
33	3648	3679
34	3066	3155
35	2529	2609
36	2140	2197
37	1737	1772
38	1561	1617
39	1216	1235
40	1136	1116
41	905	933
42	721	747
43	529	530
44	499	501
45	427	435
46	357	377
47	221	227
48	244	243
49	166	149
50	129	124
51	103	80
52	91	89
53	87	75
54	64	63
55	67	48
56	46	41
57	36	22
58	50	35
59	41	20
60	25	11
61	13	12
62	29	10
63	28	14
64	17	10
65	14	4
66	12	5
67	16	9
68	25	10
69	14	6
70	21	5
71	17	3
72	14	7
73	6	2
74	11	3
75	12	7
76	4	1
77	13	6
78	11	12
79	14	1
80	13	3
81	13	0
82	10	3
83	12	4
84	11	1
85	17	2
86	11	2
87	9	2
88	12	2
89	8	0
90	9	1
91	6	3
92	8	1
93	7	1
94	9	4
95	14	2
96	10	1
97	4	4
98	13	0
99	10	0
100	4	1
101	8	4
102	8	0
103	11	2
104	4	0
105	6	1
106	4	0
107	10	1
108	4	0
109	7	2
110	7	0
111	6	0
112	3	2
113	11	1
114	5	1
115	5	0
116	6	6
117	4	4
118	7	0
119	3	0
120	5	0
121	5	0
122	9	3
123	5	4
124	8	0
125	7	2
126	12	0
127	7	0
128	4	0
129	11	0
130	4	2
131	6	4
132	5	12
133	10	0
134	4	0
135	5	0
136	4	4
137	3	2
138	5	0
139	6	0
140	5	0
141	8	2
142	6	0
143	7	3
144	9	1
145	6	0
146	7	0
147	8	2
148	2	0
149	1	0
150	4	0
151	5	0
152	3	0
153	2	0
154	3	0
155	4	0
156	5	0
157	2	0
158	2	2
159	1	4
160	6	2
161	2	0
162	4	0
163	3	0
164	7	0
165	5	1
166	2	0
167	3	0
168	4	0
169	2	0
170	5	0
171	3	0
172	2	0
173	3	0
174	6	2
175	3	0
176	2	0
177	5	1
178	5	0
179	4	2
180	4	0
181	2	0
182	1	0
183	3	0
184	5	0
185	6	0
186	8	0
187	5	2
188	2	0
189	3	0
190	3	2
191	3	0
192	2	0
193	1	0
194	4	3
195	2	2
196	3	0
197	8	0
198	3	0
199	5	4
200	4	0
201	4	0
202	7	0
203	7	0
204	4	0
205	4	0
206	4	0
207	6	0
208	4	0
209	3	0
210	3	0
211	7	1
212	4	0
213	3	2
214	6	1
215	1	0
216	4	1
217	5	0
218	4	0
219	1	0
220	2	0
221	2	0
222	4	4
223	4	0
224	3	0
225	4	0
226	1	0
227	4	0
228	3	1
229	6	1
230	2	0
231	1	0
233	2	1
234	5	1
235	2	0
236	4	4
237	2	0
238	6	5
239	9	0
240	1	0
241	6	0
242	2	0
243	3	0
245	3	0
246	1	0
247	3	0
248	3	2
249	2	0
250	1	0
252	2	0
253	4	1
254	1	0
255	3	0
256	3	0
257	3	0
258	3	0
259	2	0
260	0	2
261	5	0
262	2	1
263	5	0
264	3	0
265	2	1
266	3	0
267	5	0
268	3	0
269	1	0
270	3	0
271	4	1
273	2	0
274	3	0
275	5	0
276	1	0
277	3	0
278	1	0
279	3	0
280	2	0
281	3	0
282	1	0
283	3	4
284	3	0
285	4	0
286	2	0
287	3	0
288	2	0
289	1	0
291	3	0
292	1	1
293	2	1
294	1	0
295	2	0
296	3	0
297	5	4
298	3	0
299	4	1
300	1	1
301	4	0
302	4	0
304	2	2
305	4	0
306	4	0
308	3	0
309	1	0
310	3	0
311	1	0
312	3	0
313	5	0
315	4	0
316	1	0
317	3	0
318	0	2
319	1	0
320	3	0
321	3	0
322	1	0
323	1	0
324	3	0
325	2	0
326	1	0
327	1	0
329	1	2
330	1	0
331	1	0
332	3	0
333	1	4
334	1	0
336	2	0
337	2	0
338	2	0
339	4	0
340	1	0
341	1	0
342	2	0
343	5	0
344	4	0
345	1	0
346	3	0
347	2	0
348	1	0
349	2	0
350	4	0
351	3	0
352	1	0
353	2	0
354	5	3
355	2	0
356	1	0
357	2	0
358	2	0
359	5	0
362	3	0
363	2	0
364	0	4
365	1	0
366	3	0
368	1	0
369	4	1
370	1	0
371	3	0
372	1	0
373	4	0
374	2	0
375	1	0
377	4	0
379	2	0
380	3	1
382	3	0
383	3	0
385	3	0
386	3	0
387	3	1
388	2	0
389	1	0
390	2	2
391	1	0
392	2	0
393	2	0
394	3	0
396	1	0
397	1	0
398	2	0
399	3	0
400	2	0
401	4	0
402	2	0
403	1	0
404	3	0
405	1	0
406	1	0
407	3	0
408	2	0
411	1	0
412	1	1
413	2	0
414	1	1
415	4	0
416	3	0
418	5	0
420	1	0
421	3	0
423	1	0
424	1	0
426	1	0
427	2	0
429	2	0
430	2	0
431	1	2
433	1	0
434	3	0
435	2	0
436	3	0
437	3	0
439	2	0
440	1	0
441	4	0
442	1	0
444	1	0
445	3	0
446	0	4
447	3	1
448	1	0
450	4	0
451	1	0
452	1	0
453	2	0
455	1	0
456	2	0
457	2	0
458	1	0
459	1	0
461	1	0
463	1	0
464	2	0
465	1	0
466	1	0
467	1	0
468	2	0
470	1	0
472	1	0
473	3	0
474	1	1
475	4	0
476	1	0
477	1	0
479	1	0
482	1	0
483	2	0
484	1	0
486	1	0
487	1	0
488	1	0
490	4	0
491	1	0
492	1	0
494	1	0
495	2	1
496	1	0
497	2	1
498	2	0
499	1	0
500	2	0
501	3	1
504	3	0
506	3	0
508	1	0
509	1	1
511	1	0
512	1	1
513	2	0
514	1	0
516	1	0
517	5	0
518	2	1
519	1	0
522	4	1
523	1	0
524	0	1
525	1	0
526	1	0
527	1	0
529	4	0
530	1	0
532	2	0
534	1	0
536	1	0
537	2	0
538	2	1
541	0	1
542	2	0
543	4	1
544	1	0
545	1	1
546	1	0
547	1	0
548	4	0
549	2	0
552	3	0
553	2	0
554	2	0
557	2	0
559	1	0
561	1	0
562	3	0
563	1	0
567	1	0
569	2	0
570	1	1
571	3	0
572	1	0
573	1	0
574	1	0
575	1	0
576	2	0
577	2	0
579	1	0
581	2	0
582	1	0
584	2	0
585	1	0
586	2	0
590	1	0
591	1	0
592	3	0
593	2	1
594	1	0
598	1	0
599	1	0
600	1	0
602	1	0
604	1	0
605	1	1
607	2	0
608	0	1
611	3	0
612	1	0
614	1	0
616	1	0
617	3	0
623	1	0
624	1	0
625	2	0
627	1	0
628	2	0
630	1	0
631	0	1
632	4	2
634	1	0
635	3	0
636	1	0
637	3	0
638	0	1
640	0	1
641	3	3
644	2	1
645	1	0
646	1	0
650	1	0
652	1	0
653	1	1
654	2	0
655	1	0
656	2	1
659	1	0
660	1	1
663	1	0
664	0	1
665	3	1
668	1	0
670	2	1
672	1	0
674	1	1
675	1	0
676	1	1
677	2	1
680	1	0
681	1	0
682	1	1
683	2	0
684	1	0
686	1	0
687	2	1
689	1	1
690	4	0
691	2	0
692	1	0
695	2	1
697	2	0
698	1	0
700	1	1
701	1	0
704	1	0
706	1	1
708	1	0
709	1	0
710	1	1
711	1	0
712	1	0
713	1	0
714	1	0
718	1	1
719	1	0
720	1	0
721	1	0
722	1	0
723	1	0
724	1	0
725	1	0
726	1	1
729	0	1
733	1	0
735	1	0
739	1	0
743	2	1
746	1	1
749	2	1
750	2	0
752	3	1
754	1	1
757	1	0
758	1	0
759	1	1
762	2	1
763	1	0
764	1	0
767	2	1
769	2	1
771	1	0
772	1	1
775	2	0
777	0	1
778	1	0
779	0	1
782	1	1
783	1	0
785	1	1
786	1	0
789	3	1
790	1	0
791	0	1
793	1	0
796	2	1
797	1	0
801	0	1
807	1	0
812	3	0
818	1	0
820	1	1
821	0	1
824	1	0
825	1	0
826	1	0
830	1	0
831	1	0
832	2	0
833	2	0
834	2	2
836	1	0
837	1	1
838	1	0
840	2	2
843	1	0
844	0	1
845	1	0
846	1	0
847	1	1
849	1	0
851	3	0
853	1	0
855	2	1
857	1	0
860	1	1
861	1	0
866	1	1
868	1	0
869	1	0
871	1	0
872	1	0
874	1	0
875	3	0
878	1	0
879	2	2
880	2	0
882	1	0
883	2	0
884	2	0
885	1	0
888	1	0
890	3	0
891	0	1
892	1	0
896	1	0
901	1	0
902	1	0
903	2	0
905	1	0
906	1	0
908	1	0
909	1	1
912	1	0
913	1	1
914	2	0
915	1	0
916	2	1
917	1	0
918	1	1
919	2	0
923	1	0
924	2	1
