counts	instances_pre	instances_post
1	2321168	2067223
2	819424	796034
3	630368	621051
4	525188	520377
5	444313	442852
6	373425	373814
7	313369	313715
8	258520	259999
9	211810	213334
10	173138	175027
11	138279	140197
12	109343	111211
13	84518	86048
14	65451	66781
15	49657	50810
16	37248	38221
17	27237	28184
18	20315	20877
19	13863	14385
20	10031	10340
21	6962	7113
22	4712	4813
23	3212	3283
24	2260	2314
25	1412	1377
26	1031	1025
27	668	620
28	519	454
29	300	240
30	237	169
31	195	119
32	173	127
33	132	59
34	120	66
35	101	26
36	97	35
37	82	16
38	76	22
39	61	3
40	70	18
41	69	10
42	67	7
43	65	8
44	56	14
45	54	9
46	62	6
47	49	8
48	56	9
49	55	5
50	45	10
51	51	7
52	44	6
53	56	3
54	48	10
55	34	2
56	37	8
57	37	3
58	41	2
59	41	8
60	36	8
61	38	1
62	25	1
63	31	2
64	30	12
65	33	0
66	38	4
67	45	4
68	30	6
69	34	0
70	26	0
71	39	1
72	25	1
73	37	0
74	33	2
75	32	7
76	39	4
77	20	2
78	22	1
79	26	2
80	27	1
81	17	2
82	15	2
83	26	4
84	34	0
85	22	1
86	19	2
87	21	3
88	14	2
89	17	0
90	27	1
91	28	0
92	19	0
93	22	0
94	24	0
95	18	0
96	15	1
97	17	2
98	17	1
99	21	0
100	17	2
101	15	0
102	22	0
103	19	0
104	18	0
105	16	0
106	20	2
107	15	0
108	11	0
109	14	4
110	16	0
111	17	0
112	20	2
113	13	0
114	14	0
115	15	2
116	14	0
117	11	4
118	13	0
119	8	1
120	15	0
121	11	4
122	11	3
123	17	0
124	11	0
125	12	2
126	20	0
127	17	1
128	6	4
129	8	0
130	15	0
131	9	1
132	10	0
133	11	1
134	12	2
135	10	1
136	7	0
137	9	1
138	8	3
139	9	0
140	8	6
141	9	0
142	10	1
143	11	0
144	11	0
145	6	1
146	3	0
147	6	1
148	7	0
149	10	0
150	7	0
151	10	0
152	10	4
153	9	0
154	8	3
155	12	0
156	8	0
157	5	0
158	10	1
159	7	0
160	8	0
161	4	0
162	11	0
163	7	0
164	5	0
165	10	0
166	8	0
167	7	0
168	8	0
169	8	0
170	5	1
171	4	2
172	4	1
173	6	1
174	11	2
175	3	0
176	8	0
177	6	1
178	6	1
179	8	0
180	8	0
181	8	0
182	7	0
183	10	0
184	7	0
185	3	1
186	5	1
187	6	0
188	3	0
189	2	2
190	10	2
191	5	0
192	3	0
193	8	1
194	7	0
195	8	1
196	6	1
197	11	2
198	8	2
199	10	1
200	4	0
201	6	0
202	5	1
203	3	1
204	5	1
205	3	0
206	4	0
207	5	0
208	3	0
209	4	1
210	3	0
211	5	0
212	9	0
213	7	1
214	4	0
215	5	2
216	4	0
217	5	1
218	10	0
219	3	0
220	4	0
221	7	0
222	5	0
223	4	0
224	4	0
225	9	1
226	3	0
227	8	1
228	2	0
229	8	2
230	3	1
231	7	1
232	3	0
233	3	0
234	7	0
235	4	0
236	4	0
237	4	0
238	8	0
239	6	1
240	5	1
241	6	0
242	3	2
243	6	0
244	3	1
245	5	0
246	3	0
248	2	0
249	7	1
250	4	0
252	2	1
254	2	0
255	7	0
256	7	1
257	4	1
258	4	2
259	3	0
260	4	0
261	5	1
262	2	0
263	2	1
264	3	1
265	2	0
266	3	0
267	2	0
268	3	1
269	4	2
270	3	0
271	4	0
272	4	1
273	4	1
274	1	0
275	1	0
276	4	0
277	2	1
278	4	0
279	3	1
280	2	0
281	5	0
282	1	0
283	2	0
284	2	0
285	7	1
286	3	1
287	2	0
288	2	1
289	4	1
290	3	0
291	4	0
292	4	1
293	3	1
294	3	0
295	4	1
296	4	1
297	2	2
298	1	0
299	3	0
300	4	0
301	3	0
302	2	0
303	2	0
304	2	0
305	2	0
306	2	0
307	1	1
308	3	0
309	1	0
310	5	1
311	3	1
312	1	0
313	2	0
314	3	1
315	2	0
316	1	2
317	0	1
318	1	0
319	3	0
320	3	0
321	2	4
322	1	0
323	2	0
325	2	1
326	2	1
327	3	0
328	4	1
329	4	0
330	3	2
331	4	0
332	3	3
333	2	0
334	2	1
335	2	2
336	2	1
338	1	0
339	3	3
340	1	0
341	2	0
342	3	0
343	8	3
344	3	1
346	5	1
347	2	0
348	1	0
349	3	1
350	2	1
352	2	1
353	6	0
354	3	1
355	3	0
356	2	0
357	1	0
358	2	0
359	3	1
360	2	0
361	2	0
362	3	0
363	0	1
364	1	0
365	3	0
366	3	1
367	4	0
368	2	1
369	1	0
371	4	0
373	0	2
374	0	1
375	1	0
376	3	0
377	3	1
379	2	1
380	1	0
382	1	0
383	4	0
384	3	3
385	3	0
386	2	0
387	1	0
388	1	1
389	2	0
390	4	0
391	5	2
392	5	1
394	3	1
395	2	0
396	2	0
397	3	1
398	2	0
399	1	0
400	1	0
401	1	0
402	1	0
403	2	0
404	1	0
405	2	0
406	1	1
407	3	0
408	1	1
409	1	1
410	3	1
412	2	0
413	2	1
414	2	1
415	2	1
416	2	0
417	1	1
418	2	2
419	2	0
420	3	0
421	1	0
422	2	0
423	1	0
424	4	0
425	2	0
427	4	0
428	2	1
429	1	0
430	6	2
431	5	0
432	1	0
433	1	0
434	2	0
435	1	1
436	1	0
437	3	1
438	2	0
439	2	2
440	3	0
442	1	0
443	1	0
444	1	1
445	2	0
446	2	2
447	4	1
448	0	1
449	1	0
450	1	0
451	2	0
452	1	0
453	2	1
454	3	2
455	1	1
456	1	0
457	1	1
458	3	0
459	1	1
460	2	1
461	1	0
462	0	1
463	1	0
465	2	1
469	2	1
471	1	1
472	1	1
473	2	1
474	1	1
475	2	0
476	3	0
478	1	0
479	1	1
481	2	0
482	2	0
483	1	0
484	1	1
485	3	0
486	1	0
487	1	0
488	3	1
489	2	2
490	3	2
491	1	0
492	3	0
493	1	0
494	4	0
495	1	1
496	2	0
497	1	0
498	1	0
500	0	1
501	3	0
502	3	0
503	2	0
504	2	3
506	1	0
507	1	2
508	1	0
509	2	0
510	2	0
515	1	0
516	2	0
518	1	0
520	1	1
523	1	2
524	2	0
525	1	1
526	2	1
527	2	2
528	1	1
531	2	0
532	3	0
533	1	0
536	2	0
538	2	0
539	3	0
540	4	0
541	1	1
542	1	0
544	1	0
547	0	1
548	2	0
549	1	1
552	1	0
554	0	1
555	1	0
556	3	1
563	1	0
564	1	1
565	1	0
566	0	1
568	3	0
569	1	0
571	1	1
573	1	0
576	2	0
577	1	0
578	1	0
579	0	1
580	1	0
582	1	0
583	1	0
584	4	1
586	2	0
587	1	0
590	1	0
591	2	0
594	1	0
595	1	0
597	1	1
598	1	0
599	1	0
600	1	0
601	0	1
602	1	0
603	2	0
607	2	1
608	1	0
609	2	0
610	3	0
612	1	0
613	0	1
616	2	1
617	1	1
618	2	0
619	1	0
620	0	1
621	0	1
623	1	0
624	3	0
625	2	0
626	1	0
627	1	0
628	1	0
629	2	1
630	0	2
633	2	1
634	3	2
635	1	0
637	2	0
638	2	2
639	1	1
642	1	0
643	2	0
644	2	1
645	1	1
651	2	0
652	2	0
653	3	0
654	1	0
655	0	1
656	1	1
657	0	1
658	0	2
659	1	0
660	2	0
661	3	1
662	2	0
664	1	0
667	0	1
668	1	0
669	1	0
670	1	1
671	1	0
672	1	0
675	0	1
677	1	1
679	0	1
680	3	2
681	1	0
683	1	0
685	1	0
687	1	0
689	1	0
690	1	0
691	1	1
694	1	1
699	2	0
700	2	0
701	2	0
702	1	0
704	1	1
705	1	1
707	1	0
708	1	1
709	1	1
710	0	1
720	0	1
721	0	1
722	1	0
723	2	0
724	1	0
730	1	0
731	1	0
733	1	1
735	0	1
740	1	1
741	1	0
742	1	0
744	2	1
746	1	1
749	0	1
751	1	2
753	1	0
754	1	0
755	2	0
758	1	1
759	1	0
762	1	0
765	2	0
766	0	2
769	2	0
770	1	1
774	2	1
778	1	1
779	1	0
780	3	0
783	0	1
786	2	1
787	1	0
788	0	1
789	0	1
790	1	0
791	1	0
795	1	1
797	1	1
798	0	2
806	1	1
807	2	0
810	1	0
812	1	0
813	1	0
815	1	0
818	1	0
819	1	1
820	1	0
821	1	0
825	3	1
827	1	0
832	0	1
833	0	1
834	0	1
836	0	1
837	0	1
839	0	2
840	1	1
847	0	1
850	1	0
860	1	0
871	1	0
874	1	0
875	1	0
876	0	1
880	1	0
881	1	0
883	1	0
887	0	1
890	1	2
897	1	0
898	1	0
906	1	0
907	1	0
