counts	instances_pre	instances_post
1	14028936	13665621
2	4964058	5020480
3	1710577	1750639
4	554021	569770
5	165627	172332
6	49654	51960
7	13118	13770
8	4523	4695
9	1080	1043
10	541	508
11	164	93
12	243	174
13	95	26
14	109	50
15	91	30
16	89	39
17	89	40
18	75	36
19	42	17
20	53	19
21	58	28
22	42	16
23	35	8
24	37	11
25	45	13
26	42	8
27	43	9
28	25	2
29	31	4
30	26	8
31	16	4
32	24	3
33	18	1
34	21	0
35	21	8
36	16	3
37	19	3
38	19	5
39	15	0
40	16	2
41	7	1
42	15	5
43	25	6
44	11	3
45	14	5
46	10	1
47	14	1
48	11	4
49	11	3
50	13	2
51	8	2
52	10	6
53	12	2
54	11	4
55	8	1
56	12	3
57	9	2
58	5	1
59	4	2
60	10	0
61	4	1
62	5	2
63	3	1
64	8	0
65	8	4
66	7	1
67	8	1
68	3	0
69	4	0
70	5	3
71	6	3
72	5	0
73	6	2
74	5	1
75	5	2
76	8	3
77	5	0
78	3	1
79	5	2
80	6	2
81	2	0
82	3	2
83	4	1
84	2	1
85	7	2
86	2	2
87	3	3
88	6	1
89	1	0
90	2	1
91	1	1
92	0	1
93	2	0
94	1	1
95	2	1
96	2	0
97	2	1
98	4	1
99	6	2
100	1	0
101	3	2
103	1	0
104	0	1
105	2	0
106	3	1
107	1	0
108	2	2
109	3	0
110	3	2
111	3	0
112	0	1
113	3	1
114	1	1
115	4	2
117	3	2
119	1	0
120	1	0
121	2	1
122	0	3
123	5	0
124	1	1
125	2	0
126	1	0
127	1	0
128	1	0
129	2	0
130	2	0
131	1	0
133	1	0
134	0	1
135	1	2
136	5	1
137	1	1
138	2	0
139	0	1
140	1	0
142	2	2
144	0	1
146	0	2
147	0	1
148	2	1
151	2	1
154	1	0
156	1	2
157	1	1
158	0	1
160	1	2
161	1	1
162	0	1
164	0	1
165	3	0
169	1	0
172	0	1
173	2	1
175	0	1
176	1	0
178	1	1
179	0	1
180	1	1
184	0	1
185	1	0
186	1	0
187	1	0
189	1	2
190	1	1
192	0	2
193	0	4
197	0	1
199	2	2
200	1	0
205	1	0
209	1	0
211	0	2
213	0	1
214	0	1
220	0	1
223	0	1
224	0	1
227	0	1
228	1	0
234	0	1
236	1	0
244	0	1
245	0	1
249	1	0
254	0	1
256	0	1
257	0	1
258	0	2
260	0	1
261	0	1
262	0	1
271	0	1
276	0	1
281	0	1
290	0	1
293	0	1
294	0	1
295	0	1
297	0	1
303	0	1
313	0	1
319	0	1
324	0	1
325	0	1
328	0	1
334	0	2
335	0	1
338	0	1
350	0	1
360	0	2
361	0	2
364	1	0
372	0	1
383	0	1
389	1	0
401	0	1
422	0	1
429	0	1
440	0	2
471	0	1
473	0	1
478	0	1
503	0	1
516	0	1
536	0	1
558	0	1
589	0	1
617	0	1
634	0	1
663	0	1
674	0	1
693	0	1
710	0	1
777	0	1
827	0	1
899	0	1
1023	0	1
1040	0	1
1049	0	1
1059	0	1
1125	0	1
1240	0	1
1328	0	1
1461	0	1
1478	0	1
1741	0	1
2721	0	1
4980	0	1
10902	0	1
