counts	instances_pre	instances_post
1	14639632	14253692
2	6904503	6918306
3	3500609	3530276
4	1696688	1715084
5	769112	782665
6	338584	345281
7	138144	141308
8	57271	58734
9	21645	22162
10	8805	8939
11	3255	3208
12	1619	1537
13	547	456
14	412	315
15	221	104
16	208	104
17	114	28
18	163	59
19	112	17
20	105	34
21	80	26
22	78	17
23	64	7
24	72	12
25	69	17
26	67	12
27	66	6
28	63	10
29	60	2
30	55	11
31	50	7
32	42	7
33	46	6
34	45	3
35	48	3
36	36	4
37	37	4
38	32	3
39	36	8
40	40	0
41	37	1
42	38	4
43	39	4
44	29	0
45	25	9
46	29	0
47	31	2
48	24	2
49	26	2
50	29	2
51	25	0
52	26	1
53	25	0
54	34	3
55	21	0
56	24	0
57	20	0
58	24	0
59	27	1
60	31	2
61	21	2
62	18	0
63	19	0
64	21	3
65	22	0
66	28	0
67	22	0
68	24	2
69	18	1
70	13	0
71	15	0
72	23	0
73	17	0
74	14	0
75	18	0
76	11	1
77	23	1
78	15	1
79	13	0
80	13	3
81	17	1
82	16	1
83	18	2
84	11	2
85	14	0
86	16	3
87	10	0
88	11	0
89	12	2
90	23	1
91	12	0
92	13	1
93	10	0
94	11	2
95	8	0
96	11	1
97	8	0
98	10	0
99	15	1
100	9	0
101	15	0
102	12	1
103	17	1
104	6	0
105	6	0
106	8	3
107	12	0
108	9	0
109	13	2
110	14	3
111	8	0
112	6	0
113	12	0
114	11	0
115	9	0
116	9	1
117	10	0
118	7	2
119	8	0
120	13	2
121	5	1
122	9	0
123	9	0
124	10	1
125	5	1
126	5	0
127	12	1
128	9	1
129	10	1
130	8	0
131	8	0
132	10	0
133	6	1
134	10	0
135	7	1
136	6	0
137	1	0
138	3	0
139	7	2
140	5	1
141	5	1
142	4	0
143	5	0
144	6	0
145	4	0
146	7	0
147	4	1
148	4	0
149	2	0
150	7	2
151	8	2
152	6	1
153	10	0
154	6	0
155	8	1
156	13	0
157	7	2
158	6	0
159	3	1
160	4	0
161	3	0
162	3	1
163	6	0
164	3	0
165	5	2
166	2	1
167	4	0
168	6	1
169	6	0
170	5	1
171	2	0
172	2	1
173	4	1
174	2	1
175	4	0
176	6	1
177	3	0
178	7	0
179	1	0
180	5	3
181	6	1
182	5	2
183	7	1
184	3	1
185	5	0
186	6	1
187	5	2
188	5	0
189	6	1
190	6	1
191	3	1
192	7	0
193	1	0
194	6	1
195	5	1
196	7	1
198	3	1
199	5	1
200	2	0
201	4	2
202	5	2
203	6	0
204	2	0
205	5	1
207	3	1
208	2	2
209	2	1
210	6	1
211	5	0
212	3	0
213	6	1
214	4	0
215	4	1
216	3	1
217	6	0
218	4	0
219	6	1
220	4	3
221	6	2
222	3	1
224	4	0
225	1	0
226	5	1
227	6	1
228	2	1
229	3	0
230	1	0
231	3	2
232	1	1
233	1	0
234	2	0
235	1	0
236	4	2
237	4	1
238	3	0
239	5	2
240	2	1
241	1	1
242	2	0
243	5	1
244	3	0
245	1	1
246	1	0
247	2	1
248	5	1
249	2	0
250	3	0
251	6	2
252	4	0
253	2	1
254	1	0
256	2	0
