counts	instances_pre	instances_post
1	3004775	2711591
2	1283461	1248244
3	1045838	1032532
4	918493	911158
5	803181	804199
6	690308	692349
7	575536	577695
8	475968	479777
9	384882	388457
10	308845	312496
11	242365	245677
12	190795	193837
13	144547	147179
14	110494	112578
15	81863	83780
16	60525	61926
17	42548	43878
18	30953	31686
19	20996	21684
20	14797	15325
21	9752	10065
22	6731	6955
23	4245	4399
24	3098	3093
25	1723	1791
26	1318	1362
27	706	726
28	667	671
29	283	262
30	368	355
31	123	114
32	217	210
33	68	49
34	133	119
35	34	15
36	108	97
37	32	16
38	72	57
39	24	10
40	42	30
41	24	10
42	35	19
43	18	5
44	30	14
45	21	6
46	24	13
47	21	3
48	24	7
49	10	1
50	19	7
51	8	1
52	17	7
53	9	1
54	10	1
55	12	1
56	12	1
57	11	0
58	8	0
59	11	0
60	12	3
61	16	2
62	8	1
63	4	0
64	10	1
65	9	2
66	11	2
67	6	3
68	4	2
69	10	2
70	5	2
71	10	1
72	6	2
73	10	1
74	8	3
75	9	2
76	4	0
77	11	1
78	5	0
79	8	0
80	6	2
81	5	1
82	8	2
83	2	1
84	1	0
85	13	3
86	7	0
87	7	0
88	2	1
89	7	0
90	2	0
91	5	0
92	5	0
93	4	1
94	4	2
95	2	0
96	4	2
97	5	0
98	5	0
99	1	1
100	4	0
101	4	0
102	2	1
103	6	1
104	3	0
105	5	2
106	7	1
107	9	2
108	1	1
109	5	1
110	2	3
111	5	1
112	6	1
113	7	4
114	6	1
115	2	1
116	2	1
117	2	1
118	5	1
119	4	3
120	3	1
121	1	0
122	3	1
123	2	2
124	3	5
125	5	1
126	4	2
127	2	0
128	4	1
129	3	1
130	3	0
131	5	0
132	3	0
134	2	2
135	4	1
136	2	1
137	2	1
138	2	2
139	1	0
140	2	1
141	2	1
142	2	2
143	1	3
145	4	3
146	3	1
147	1	0
148	3	4
149	4	2
150	3	2
151	1	3
152	2	0
153	2	2
154	1	0
155	1	0
157	0	1
158	0	1
159	1	0
160	2	0
161	2	1
162	0	2
163	1	3
164	1	0
165	1	0
167	4	0
168	1	2
169	0	1
170	1	0
172	3	1
173	2	1
174	1	0
175	1	2
176	2	0
178	5	1
179	1	0
180	1	0
182	3	0
183	1	0
184	2	2
185	1	1
186	1	0
187	1	1
188	3	1
189	1	0
190	1	0
191	2	0
194	0	1
195	0	2
197	1	0
198	1	0
199	1	0
200	1	0
201	0	1
202	2	1
203	1	0
206	2	0
207	1	0
209	2	1
210	0	2
212	0	1
214	2	1
217	0	1
218	1	0
221	3	0
223	1	0
225	0	1
226	1	0
227	0	1
228	1	1
231	1	1
232	1	0
233	1	1
234	0	1
235	1	1
237	1	0
239	1	1
240	2	1
251	1	0
252	1	1
255	0	2
256	1	1
258	0	1
261	1	0
262	2	0
263	0	1
267	2	2
273	2	0
275	0	1
276	1	0
280	1	1
282	1	2
285	0	1
292	0	1
293	1	0
301	0	1
303	0	1
304	1	0
305	1	0
308	1	0
311	0	1
313	1	0
314	1	0
318	0	1
324	1	0
325	1	0
333	0	1
334	0	2
338	0	1
342	0	1
345	0	1
350	1	0
351	0	1
353	0	1
355	0	1
368	0	2
373	1	1
377	1	0
385	0	1
398	0	1
409	0	2
410	0	2
415	0	1
421	0	4
426	0	1
454	0	1
463	0	1
466	0	1
470	0	1
478	1	0
487	0	1
491	0	2
511	0	1
513	0	1
514	0	1
519	0	1
525	0	1
526	0	1
531	0	2
538	0	1
542	0	1
547	0	1
552	0	1
560	0	1
561	0	1
563	0	1
611	0	1
688	0	1
696	0	1
700	0	1
719	0	2
753	0	1
759	0	1
800	0	1
848	0	1
851	0	1
872	0	1
918	0	1
965	0	1
974	0	1
994	0	1
1001	0	1
1042	0	1
1113	0	1
1334	0	1
1395	0	1
1429	0	1
1448	0	1
1701	0	1
1709	0	1
1781	0	1
1802	0	1
1902	0	1
2162	0	1
2184	0	1
2196	0	1
3022	0	1
3110	0	1
3232	0	1
3297	0	1
3826	0	1
4899	0	1
11381	0	1
