counts	instances_pre	instances_post
1	13258439	12966157
2	5299359	5329006
3	2140104	2170592
4	823026	836520
5	296243	303777
6	104767	107458
7	34248	35216
8	12083	12379
9	3776	3799
10	1444	1350
11	436	364
12	347	221
13	163	46
14	132	46
15	108	32
16	78	22
17	80	3
18	81	13
19	64	4
20	69	10
21	58	12
22	40	3
23	55	3
24	31	5
25	40	6
26	28	2
27	31	2
28	36	2
29	42	2
30	41	1
31	36	7
32	32	2
33	29	3
34	34	5
35	32	6
36	27	3
37	23	0
38	20	4
39	27	4
40	28	4
41	20	2
42	16	3
43	34	3
44	24	5
45	24	5
46	18	3
47	15	1
48	24	4
49	18	3
50	17	1
51	18	4
52	11	2
53	26	1
54	11	4
55	13	2
56	7	0
57	23	1
58	10	0
59	12	1
60	15	4
61	6	0
62	9	1
63	15	2
64	15	5
65	10	5
66	8	1
67	13	0
68	7	1
69	6	0
70	6	1
71	12	3
72	6	3
73	10	3
74	4	2
75	7	0
76	11	3
77	5	2
78	6	0
79	8	0
80	7	1
81	7	2
82	3	3
83	6	1
84	10	2
85	3	1
86	5	2
87	6	1
88	9	2
89	5	2
90	5	1
91	7	1
92	4	0
93	5	2
94	6	3
95	7	2
96	9	2
97	5	2
98	4	0
99	5	2
100	5	1
101	3	4
102	4	1
103	4	0
104	6	0
105	2	2
106	5	2
107	4	1
108	5	2
109	3	1
110	3	0
111	1	1
112	5	1
113	1	0
114	6	0
115	2	1
116	6	3
118	0	1
119	4	0
120	6	1
121	4	2
123	1	1
124	1	0
125	7	0
126	5	0
127	1	2
129	3	1
130	3	0
131	1	1
132	2	1
133	3	0
134	1	2
135	3	0
136	1	0
137	4	0
138	2	0
139	3	2
140	1	0
141	2	4
142	1	2
143	3	0
144	3	0
145	1	2
146	4	1
147	2	0
148	2	1
149	4	0
150	3	1
151	2	1
152	2	0
154	1	0
155	2	0
156	3	2
159	1	2
160	1	0
161	2	0
162	2	0
163	1	1
165	1	1
166	1	0
167	2	0
168	1	1
170	5	0
173	2	0
175	1	1
177	1	0
178	0	1
179	1	0
180	1	0
181	1	0
182	1	1
183	0	1
184	1	1
187	0	1
188	1	0
189	0	1
193	1	0
194	1	1
196	1	0
197	1	0
198	2	0
199	1	0
200	0	1
202	1	2
205	1	1
207	1	0
209	0	1
210	1	0
211	2	0
215	1	0
217	2	1
218	1	0
223	1	0
224	1	0
230	1	0
235	0	1
236	2	0
237	1	0
238	0	1
241	1	0
243	1	0
244	1	0
247	0	3
248	1	1
250	1	0
251	1	0
252	0	1
254	1	0
255	1	2
256	0	2
257	1	2
260	3	0
264	1	0
265	1	0
268	1	0
270	1	0
274	0	1
279	0	1
285	3	0
288	0	1
289	0	1
294	2	0
296	1	0
299	1	0
311	1	0
314	1	0
317	1	0
318	1	0
319	1	0
321	0	1
325	2	0
327	1	0
328	1	0
329	0	1
333	0	1
334	1	0
337	1	0
340	0	1
341	0	1
345	1	0
346	0	1
349	1	0
351	0	2
353	0	1
356	1	0
357	1	0
362	0	1
364	0	1
372	0	1
376	0	1
377	0	1
385	0	1
397	1	0
402	0	1
408	0	1
410	0	1
414	0	1
416	1	1
432	1	0
435	0	1
436	0	1
442	1	0
444	0	1
451	2	0
462	1	1
487	1	0
489	0	1
500	0	1
511	0	5
562	0	1
574	1	0
603	0	1
637	0	1
671	1	0
689	1	0
734	1	0
736	1	0
745	1	0
827	1	0
829	1	0
939	0	1
940	0	1
988	0	1
1038	1	0
1362	0	1
1668	0	1
1772	0	1
1885	1	0
1931	0	1
2604	0	1
9277	0	1
89609	0	1
