counts	instances_pre	instances_post
1	12012280	11582463
2	6472542	6469413
3	3819146	3847240
4	2120289	2140866
5	1092730	1112469
6	538307	549620
7	246957	252549
8	112170	115576
9	46803	48427
10	20367	21062
11	7688	8019
12	4074	4224
13	1223	1268
14	919	927
15	390	386
16	434	424
17	200	188
18	270	258
19	142	137
20	168	169
21	160	158
22	159	142
23	94	98
24	128	116
25	106	96
26	96	93
27	80	79
28	77	74
29	84	65
30	72	78
31	68	63
32	64	58
33	62	64
34	60	58
35	71	61
36	65	62
37	74	74
38	63	55
39	55	55
40	50	45
41	42	44
42	30	26
43	36	35
44	34	28
45	39	33
46	35	36
47	31	27
48	24	22
49	29	30
50	12	17
51	9	8
52	12	9
53	16	9
54	11	13
55	10	7
56	7	6
57	14	11
58	2	0
59	4	2
60	2	4
61	2	3
62	2	0
63	5	0
64	1	1
65	8	3
66	2	2
67	3	1
68	1	1
69	1	0
70	1	3
71	0	1
72	4	2
73	1	0
74	0	2
75	3	1
76	0	1
78	0	2
79	0	1
81	1	0
83	0	1
84	1	0
86	2	1
87	2	0
88	1	0
89	2	1
90	1	1
93	1	0
94	1	0
95	0	1
96	0	1
97	1	1
99	0	1
101	0	1
104	0	1
105	1	1
106	1	0
107	1	0
109	1	3
110	1	4
111	1	1
113	0	1
114	0	1
116	0	1
119	2	0
120	2	1
121	0	2
123	1	0
129	0	1
130	1	0
131	1	0
137	1	2
141	0	1
151	0	1
155	0	1
159	0	1
160	0	1
166	1	1
168	0	2
189	0	2
193	1	0
204	0	1
206	0	2
219	0	1
238	0	1
250	0	1
264	0	1
267	1	0
288	0	1
335	0	1
362	0	1
403	0	1
452	0	1
466	0	1
487	0	1
657	0	1
752	0	1
1113	0	1
6290	0	1
