counts	instances_pre	instances_post
1	9230677	8855569
2	4304803	4327174
3	2059230	2096745
4	926986	946385
5	386693	399891
6	156110	162067
7	58076	60386
8	21998	23067
9	7794	8144
10	3032	3141
11	1023	1058
12	640	655
13	288	267
14	235	225
15	177	166
16	193	175
17	141	132
18	138	133
19	125	119
20	119	109
21	89	83
22	93	91
23	71	64
24	72	73
25	53	58
26	43	42
27	46	44
28	51	42
29	37	45
30	25	24
31	34	39
32	22	27
33	14	11
34	11	16
35	13	12
36	7	7
37	5	7
38	4	1
39	5	5
40	5	4
41	2	5
42	4	4
43	3	3
44	1	1
46	0	1
47	1	0
48	1	0
50	0	2
51	0	1
54	0	2
55	1	1
56	1	0
57	1	0
58	1	0
59	0	2
60	0	1
61	0	2
62	0	1
65	1	2
67	0	1
69	0	1
73	0	2
75	0	1
77	0	1
81	0	2
82	1	0
83	0	1
84	0	1
85	0	1
87	0	1
95	0	1
96	0	1
101	0	1
103	0	2
108	0	1
109	0	1
114	0	1
115	0	1
130	0	1
131	0	1
136	0	1
167	0	1
227	0	1
235	0	1
238	0	1
250	0	1
255	0	1
267	0	1
271	0	1
320	0	1
325	0	1
334	0	1
352	0	1
450	0	1
902	0	1
3054	0	1
