counts	instances_pre	instances_post
1	4427247	4115024
2	2524650	2491319
3	1962237	1961492
4	1485972	1491079
5	1053860	1067166
6	708720	719508
7	448778	456491
8	271347	277597
9	155291	159346
10	86998	89467
11	45463	46929
12	23946	24784
13	11456	11798
14	6146	6434
15	2676	2744
16	1570	1619
17	620	627
18	510	492
19	171	141
20	195	185
21	78	49
22	120	90
23	45	20
24	77	57
25	47	15
26	48	30
27	32	13
28	41	14
29	22	12
30	17	11
31	22	3
32	30	20
33	18	7
34	22	12
35	21	3
36	21	13
37	15	10
38	13	3
39	17	4
40	11	5
41	14	5
42	18	4
43	15	3
44	16	3
45	5	2
46	10	7
47	11	1
48	20	3
49	13	3
50	9	2
51	8	0
52	10	4
53	7	7
54	6	3
55	5	1
56	14	5
57	10	4
58	7	2
59	14	3
60	6	3
61	10	6
62	8	2
63	9	2
64	2	0
65	5	0
66	5	0
67	10	2
68	8	4
69	8	1
70	10	2
71	14	2
72	4	2
73	4	5
74	13	2
75	2	1
76	10	5
77	9	2
78	3	1
79	5	3
80	7	0
81	3	1
82	7	1
83	6	0
84	6	0
85	4	0
86	10	1
87	7	0
88	7	0
89	6	1
90	5	0
91	4	2
92	4	3
93	2	0
94	5	0
95	2	0
96	4	0
97	5	4
98	4	0
99	1	0
100	1	0
101	6	0
102	1	0
103	3	1
104	3	0
105	6	0
106	7	1
107	1	0
108	2	0
109	1	0
111	2	0
112	2	0
113	2	0
114	3	0
115	2	0
116	2	0
117	1	0
118	2	0
119	5	0
120	3	1
121	2	0
122	3	1
123	2	0
124	2	0
125	2	0
126	1	0
127	3	0
128	4	0
129	3	0
130	1	0
132	3	0
133	3	0
134	2	0
135	2	0
136	1	0
137	2	1
139	1	0
140	1	0
141	2	1
142	3	0
143	2	0
144	2	0
145	3	1
146	4	0
147	1	0
148	2	0
150	2	0
151	2	0
152	1	0
153	2	0
154	1	0
155	2	1
156	3	0
157	2	1
158	2	0
159	0	1
160	2	1
161	1	2
162	2	0
163	1	0
165	2	0
166	1	0
167	1	0
168	1	0
169	1	1
170	3	1
171	2	2
172	1	0
173	1	0
174	2	0
175	1	0
176	1	0
177	1	0
178	3	0
179	0	1
180	2	0
181	4	1
182	2	1
183	1	0
188	1	0
189	1	0
191	1	0
192	1	0
193	1	0
195	1	1
196	0	1
197	2	0
198	1	0
199	1	0
200	1	0
201	1	0
202	2	0
203	3	1
204	2	1
207	4	2
208	3	0
209	1	1
210	1	0
211	1	0
212	1	1
214	1	0
217	1	0
218	1	0
219	2	0
220	0	1
221	3	0
222	4	1
223	0	1
225	3	0
227	1	0
228	0	1
230	2	0
232	0	1
233	1	0
235	3	0
237	2	1
241	1	0
245	1	0
246	0	1
247	1	0
248	2	0
249	1	0
253	1	1
254	0	1
256	1	0
257	2	1
258	0	1
263	1	0
264	3	0
265	1	0
268	0	1
269	1	0
270	1	2
271	1	0
272	1	0
273	1	0
275	1	0
279	1	1
280	2	0
284	1	0
290	2	1
295	1	0
299	1	0
300	3	0
301	1	0
303	0	1
304	1	0
305	1	0
307	1	0
308	1	0
309	2	1
313	1	0
315	1	0
316	1	0
317	1	0
319	0	1
322	1	0
323	1	0
324	1	0
326	1	0
328	1	0
330	3	0
332	1	0
333	2	0
336	0	1
337	1	0
338	1	0
342	1	0
348	2	0
353	1	0
354	0	1
357	1	0
358	1	0
359	0	1
360	1	0
361	2	0
364	1	0
371	1	1
375	1	0
377	1	0
378	1	0
379	1	0
381	1	0
382	1	0
388	0	1
391	1	0
395	1	0
398	1	0
405	2	0
413	1	0
416	1	0
425	0	1
428	1	0
429	0	1
432	0	1
438	0	1
443	0	4
447	1	0
448	0	1
460	1	0
464	1	0
467	1	0
468	1	0
473	0	1
474	1	0
480	2	1
481	1	0
486	0	1
490	1	0
491	0	1
504	1	1
507	1	0
513	1	1
530	1	0
540	1	1
541	1	1
542	1	0
543	1	0
585	0	1
589	1	1
594	2	0
601	0	1
614	0	1
618	0	1
621	1	0
628	0	1
635	0	1
637	0	2
651	0	1
655	0	1
669	1	0
684	1	0
694	0	1
719	0	1
747	1	0
754	1	0
782	1	0
789	0	1
812	1	0
832	1	1
836	0	1
842	1	0
852	1	0
874	0	1
879	1	0
895	0	1
897	0	1
898	1	0
902	0	1
904	0	1
922	0	1
924	0	1
932	1	0
1004	0	1
1025	0	1
1075	0	1
1094	1	0
1142	0	1
1167	0	1
1186	1	0
1244	1	0
1256	0	1
1373	0	1
1402	0	1
1407	0	1
1412	0	1
1500	1	0
1689	0	1
1730	0	1
1786	0	1
1869	1	0
1918	0	1
1965	0	1
2077	0	1
2256	0	1
2422	0	1
2671	0	1
4020	0	1
5190	0	1
10184	0	1
10872	0	1
14249	0	1
35655	0	1
