counts	instances_pre	instances_post
1	16507848	16314928
2	4782379	4820575
3	1347225	1368154
4	363966	370365
5	91068	93441
6	23841	24446
7	5575	5651
8	1850	1830
9	495	436
10	277	224
11	146	85
12	159	96
13	86	37
14	97	57
15	80	35
16	64	26
17	73	34
18	49	20
19	47	23
20	38	17
21	35	10
22	32	6
23	29	4
24	27	5
25	20	0
26	20	6
27	17	2
28	15	5
29	19	5
30	11	4
31	12	3
32	15	4
33	12	3
34	10	0
35	14	2
36	9	1
37	9	2
38	10	2
39	12	2
40	12	7
41	10	4
42	6	1
43	10	6
44	7	2
45	5	2
46	7	0
47	9	7
48	6	3
49	13	1
50	8	4
51	5	2
52	7	5
53	5	1
54	8	3
55	4	0
56	7	5
57	9	4
58	3	4
59	5	3
60	3	1
61	3	2
62	4	2
63	5	1
64	3	2
65	8	2
66	2	1
67	2	1
68	4	0
69	4	0
70	2	4
71	3	3
72	6	0
73	3	1
74	3	1
75	1	0
76	2	0
77	3	2
78	0	2
79	2	1
80	3	1
81	1	1
82	3	0
83	2	2
84	2	1
85	0	1
86	4	1
87	1	0
88	2	2
89	2	2
90	1	0
91	3	0
92	1	0
93	1	1
94	0	1
95	2	2
96	2	2
97	0	1
98	1	0
99	0	1
101	0	1
102	0	1
104	0	1
105	0	1
106	0	2
107	1	0
108	0	1
109	1	1
110	1	1
111	1	2
112	1	1
113	1	0
114	2	1
115	0	3
116	1	1
117	1	1
119	1	1
120	2	0
121	1	1
127	0	2
129	1	0
133	0	2
137	1	1
139	0	1
140	0	2
143	1	0
145	0	1
148	1	0
149	0	1
150	0	1
156	1	0
157	1	0
160	0	2
166	0	1
167	0	1
172	0	1
182	0	1
183	1	1
184	1	0
190	0	1
192	2	0
194	0	1
197	0	1
198	0	1
199	0	1
204	0	4
207	0	1
212	0	1
215	1	0
219	0	1
220	0	1
226	0	1
228	0	1
239	0	1
240	0	2
241	0	2
243	0	1
248	0	1
257	0	1
259	0	1
260	0	1
263	1	0
265	0	1
268	0	1
269	0	2
270	0	1
271	0	1
282	0	1
296	0	1
301	0	1
308	0	1
316	0	2
340	0	1
349	0	1
355	0	1
359	0	1
380	0	1
434	0	1
527	0	1
535	0	1
559	0	1
560	0	1
588	0	1
712	0	1
722	0	1
755	0	1
777	0	1
789	0	1
1286	0	1
1535	0	1
1678	0	1
1930	0	1
2372	0	1
6294	0	1
