counts	instances_pre	instances_post
1	15302870	14956705
2	5414892	5471041
3	1835322	1873334
4	582797	597692
5	169847	176568
6	49376	51440
7	12762	13346
8	4075	4218
9	1006	1024
10	383	355
11	102	74
12	155	120
13	43	14
14	55	16
15	32	11
16	39	9
17	25	1
18	16	7
19	20	3
20	22	1
21	20	10
22	9	0
23	14	1
24	9	0
25	16	4
26	9	3
27	11	0
28	13	2
29	7	1
30	11	2
31	8	1
32	6	1
33	15	3
34	10	1
35	6	1
36	9	3
38	7	1
39	4	1
40	8	1
41	11	1
42	6	1
43	4	1
44	2	1
45	5	0
46	1	0
47	5	2
48	2	0
49	5	1
50	5	1
51	3	0
52	1	2
53	4	0
54	9	2
55	3	0
56	3	4
57	1	0
58	4	2
59	6	3
60	5	1
61	1	0
62	3	1
63	8	0
64	2	2
65	6	1
66	1	0
67	1	0
68	1	1
69	3	0
70	2	2
71	0	1
72	1	0
73	1	0
74	3	1
75	4	2
76	1	0
77	3	1
78	2	0
79	3	2
80	2	0
81	4	1
82	3	0
83	1	0
84	1	0
85	0	1
86	2	1
87	1	1
89	2	1
91	0	1
92	2	1
93	2	1
95	2	1
96	1	0
97	2	1
98	3	0
99	2	0
100	1	0
102	2	0
105	4	0
111	1	0
112	1	0
115	1	0
116	1	1
117	0	1
119	0	1
120	4	0
122	1	0
123	0	1
126	1	1
127	1	0
129	1	0
132	1	0
134	1	0
135	1	0
136	1	1
137	0	1
138	1	0
141	1	0
142	1	0
146	2	0
147	1	0
150	2	0
151	1	0
152	1	1
153	0	4
157	1	0
159	0	1
161	1	0
162	2	0
164	1	0
165	1	0
168	1	0
170	1	0
171	0	1
182	0	1
184	0	1
195	1	0
201	1	0
208	0	1
219	1	2
220	1	0
223	1	0
254	0	1
258	1	0
262	1	0
276	1	1
278	0	1
279	1	0
283	0	1
330	0	1
340	0	1
355	1	0
358	1	0
360	0	1
361	0	1
365	0	1
440	0	1
469	1	0
471	1	0
485	0	1
585	0	1
1078	0	1
1088	0	1
1348	0	1
1395	0	1
1420	0	1
1805	0	1
7129	0	1
11145	0	1
