counts	instances_pre	instances_post
1	18562860	18312217
2	6758311	6793024
3	2344928	2372177
4	774856	785140
5	235412	240708
6	72076	73896
7	19567	20066
8	6585	6653
9	1668	1624
10	783	707
11	200	125
12	249	172
13	105	18
14	106	32
15	76	17
16	71	20
17	64	2
18	56	12
19	46	5
20	49	6
21	46	3
22	32	0
23	37	0
24	54	8
25	33	2
26	21	2
27	34	0
28	22	3
29	25	4
30	27	1
31	25	3
32	25	2
33	17	1
34	22	1
35	20	2
36	13	0
37	17	0
38	7	1
39	8	2
40	11	0
41	10	2
42	14	0
43	12	2
44	16	2
45	9	8
46	8	2
47	10	0
48	10	2
49	11	0
50	10	3
51	9	3
52	12	1
53	5	3
54	8	0
55	15	2
56	12	2
57	8	1
58	18	2
59	6	3
60	3	0
61	7	1
62	12	1
63	7	2
64	10	1
65	7	1
66	6	0
67	3	0
68	10	1
69	4	2
70	4	2
71	1	0
72	5	0
73	6	2
74	4	1
75	5	1
76	4	1
77	5	4
78	1	0
79	5	0
80	4	3
81	5	0
82	3	3
83	3	2
84	7	1
85	3	1
86	5	1
87	4	0
88	1	0
89	1	0
90	2	1
91	5	1
92	4	0
93	5	0
94	4	2
95	1	1
96	3	0
97	1	0
98	7	2
99	5	0
100	1	0
101	1	0
102	4	1
103	5	0
104	2	0
105	3	3
106	1	0
107	2	0
108	2	0
109	0	2
110	4	2
111	2	1
112	2	0
113	3	1
114	2	1
115	2	1
117	4	0
118	3	0
119	3	0
120	0	1
121	1	1
123	3	0
124	2	1
125	0	2
126	1	0
127	0	1
128	1	0
129	2	0
130	2	0
131	1	0
132	0	1
133	3	0
134	2	0
137	1	1
138	0	1
139	0	1
140	2	0
141	2	1
143	1	1
145	0	1
147	1	1
148	1	0
149	2	0
150	1	0
151	0	1
152	2	1
154	2	0
155	0	1
156	3	1
157	3	1
159	0	1
161	2	1
162	1	0
163	1	0
164	1	0
165	0	1
166	2	4
167	0	1
169	1	0
170	2	0
171	1	2
172	0	1
173	1	2
176	1	0
177	0	1
178	1	1
180	0	1
181	1	0
183	1	0
184	0	1
185	1	0
186	0	1
187	1	0
189	0	2
191	0	1
193	1	0
194	1	0
197	1	0
198	0	1
202	0	1
207	1	0
210	1	0
212	1	0
215	1	0
218	1	0
221	0	1
224	1	0
228	2	0
230	1	0
233	1	0
234	1	0
235	1	0
243	1	0
248	1	0
250	1	0
254	1	0
255	0	1
256	1	1
257	1	0
270	0	1
271	1	0
276	1	0
279	1	0
282	1	0
287	0	1
296	1	0
300	0	2
304	1	0
305	1	0
311	1	0
315	1	0
317	0	1
319	1	0
326	0	1
331	1	0
341	0	1
345	1	1
348	1	0
349	1	0
352	0	1
368	0	1
380	1	0
383	0	1
389	0	1
403	1	0
436	1	0
438	0	1
537	1	0
542	0	1
549	1	0
568	0	1
570	0	1
589	0	1
641	0	1
717	1	0
731	1	0
811	0	1
914	0	2
920	1	0
941	1	0
972	1	0
1035	1	0
1101	1	0
1129	1	0
1204	1	0
1209	1	0
1229	1	0
1720	1	0
15044	1	0
93549	0	1
