counts	instances_pre	instances_post
1	4157162	3905742
2	1725747	1711048
3	1163893	1161793
4	827031	827013
5	596619	599320
6	433724	435910
7	317012	319562
8	232560	234673
9	167669	169535
10	122664	123818
11	88156	89654
12	62635	63598
13	44124	44649
14	31119	31620
15	21647	22020
16	14889	15201
17	10177	10237
18	6835	6977
19	4511	4465
20	3226	3207
21	2124	2050
22	1421	1325
23	879	799
24	667	580
25	469	377
26	336	242
27	244	156
28	215	114
29	146	66
30	158	66
31	140	45
32	112	30
33	89	18
34	90	26
35	62	11
36	80	22
37	82	11
38	69	10
39	49	2
40	55	16
41	60	6
42	61	19
43	65	3
44	46	3
45	59	7
46	48	11
47	50	7
48	42	9
49	42	3
50	31	10
51	44	0
52	52	4
53	43	4
54	43	1
55	29	4
56	31	5
57	26	1
58	24	3
59	30	2
60	33	5
61	21	2
62	28	7
63	30	6
64	26	5
65	26	6
66	29	0
67	17	0
68	21	0
69	27	3
70	23	3
71	20	11
72	26	1
73	22	1
74	16	2
75	19	0
76	17	1
77	23	4
78	26	1
79	13	1
80	12	2
81	16	0
82	16	2
83	21	1
84	21	0
85	25	0
86	10	0
87	12	5
88	15	0
89	15	0
90	10	0
91	17	1
92	13	0
93	20	1
94	13	4
95	14	7
96	15	4
97	12	1
98	12	1
99	12	0
100	15	5
101	12	0
102	12	1
103	15	2
104	7	2
105	14	5
106	12	4
107	17	1
108	13	4
109	14	2
110	12	6
111	14	0
112	13	0
113	11	7
114	7	0
115	7	0
116	11	1
117	3	0
118	13	0
119	9	0
120	12	0
121	15	0
122	8	4
123	6	0
124	9	1
125	11	0
126	7	4
127	8	2
128	10	1
129	12	0
130	3	0
131	7	0
132	7	0
133	7	4
134	14	1
135	7	0
136	8	1
137	2	0
138	9	1
139	6	2
140	12	0
141	7	0
142	9	1
143	3	1
144	7	0
145	3	0
146	9	0
147	4	0
148	5	1
149	8	0
150	6	0
151	5	0
152	9	0
153	8	0
154	12	0
155	7	0
156	7	0
157	9	0
158	5	0
159	6	0
160	5	4
161	3	0
162	3	0
163	4	0
164	9	0
165	8	0
166	7	1
167	3	4
168	7	0
169	3	0
170	9	0
171	9	0
172	5	0
173	5	1
174	5	0
175	3	2
176	5	0
177	12	0
178	6	0
179	6	0
180	10	1
181	3	0
182	9	0
183	6	0
184	3	0
185	3	0
186	5	0
187	4	0
188	3	0
189	6	0
190	2	0
191	6	0
192	4	0
193	3	0
194	12	0
195	6	0
196	6	0
197	2	0
198	4	2
199	4	0
200	3	0
201	4	4
202	2	1
203	6	0
204	5	0
205	6	1
206	4	0
207	4	0
208	4	0
209	2	0
210	4	0
211	6	0
212	7	0
213	7	1
214	6	0
215	8	0
216	6	0
217	6	0
218	5	0
219	3	0
220	3	0
221	8	0
222	1	0
223	2	1
224	3	0
225	1	2
226	2	0
227	11	0
228	5	0
229	1	0
230	5	0
231	5	2
232	7	0
233	7	0
234	2	0
235	8	1
236	2	0
237	1	0
238	1	0
239	4	0
240	6	0
241	2	0
242	3	0
243	3	0
244	3	0
245	1	1
246	5	0
247	6	0
248	2	2
249	3	1
250	4	0
251	5	0
252	3	0
253	4	0
254	2	1
255	1	0
256	2	0
257	1	0
258	5	0
259	5	0
260	7	0
261	3	0
263	2	0
264	7	0
265	4	0
266	1	0
267	7	0
268	6	0
269	3	0
270	6	0
271	1	0
273	5	0
274	4	0
275	4	0
276	1	0
277	1	0
278	2	0
279	3	0
280	2	0
281	1	0
282	1	0
283	1	0
284	1	0
285	3	0
286	1	0
287	2	2
288	3	0
289	6	0
290	2	0
291	3	0
292	3	0
293	1	0
294	3	0
295	2	0
296	0	4
297	1	0
298	3	0
299	2	0
300	2	1
301	3	0
302	4	4
303	4	0
304	1	0
305	1	0
306	2	0
307	4	0
308	6	0
309	3	1
310	4	1
312	3	0
313	5	1
314	1	0
315	6	1
316	1	0
317	3	0
319	5	0
320	4	4
321	2	0
322	4	0
323	2	0
324	3	3
325	3	0
326	5	4
327	1	0
328	2	0
329	2	0
330	2	1
331	3	0
332	1	0
333	3	0
334	1	0
335	2	0
336	2	1
337	2	0
338	1	1
339	2	0
340	1	1
341	2	0
342	1	0
343	4	1
344	2	0
345	4	1
346	2	0
347	1	0
348	1	0
349	4	0
350	4	0
351	2	0
352	4	1
353	2	1
354	3	1
355	3	1
356	3	1
357	3	0
358	5	0
359	1	0
360	2	0
361	2	0
362	1	0
363	1	0
364	2	0
365	2	0
366	2	0
367	1	0
368	3	0
369	2	0
370	1	0
371	0	1
372	2	0
373	3	0
374	1	0
375	4	0
376	1	0
377	2	1
378	2	0
382	1	0
385	2	0
386	1	0
387	2	0
388	5	1
390	2	0
391	3	0
392	2	0
393	3	2
394	1	1
395	1	0
396	0	1
397	2	0
398	2	0
399	4	1
401	1	0
402	2	0
403	1	0
405	5	0
406	1	0
407	3	0
408	3	0
409	1	0
410	2	0
411	1	0
412	1	0
413	2	0
414	1	1
415	3	1
417	1	0
418	2	0
419	5	1
420	3	0
421	1	0
422	1	2
423	3	0
425	2	0
426	3	2
428	1	1
429	1	0
430	1	0
431	1	1
432	4	1
433	1	0
434	3	0
435	2	0
436	0	1
437	4	0
438	1	0
440	3	1
441	2	0
442	1	1
443	1	0
444	1	0
446	2	0
447	2	0
448	2	1
449	1	0
450	1	1
451	1	0
452	1	0
453	3	0
454	1	0
455	1	0
456	1	0
457	1	0
459	3	0
461	2	1
462	4	2
463	1	1
465	2	1
467	1	0
468	2	0
469	2	0
470	2	0
471	1	0
472	1	0
473	1	1
474	1	0
475	1	0
476	1	1
477	1	0
478	1	0
479	1	0
480	1	0
482	2	0
483	4	0
484	1	0
485	1	0
486	1	0
487	1	0
488	1	0
489	3	0
490	1	1
491	2	1
492	2	0
493	2	1
495	2	0
496	2	0
499	2	0
500	2	0
501	2	1
502	0	1
503	0	1
504	1	0
505	2	0
506	0	1
507	1	0
508	2	0
509	1	0
511	1	0
512	2	1
517	3	0
518	1	0
520	1	0
522	2	0
524	1	1
526	1	1
527	1	0
528	2	0
529	2	0
530	1	0
531	3	0
