counts	instances_pre	instances_post
1	10527831	10197172
2	5020721	5026552
3	2674534	2698857
4	1345940	1362184
5	628603	641304
6	277168	283289
7	113754	116549
8	46315	47594
9	17134	17495
10	6910	6982
11	2396	2371
12	1241	1151
13	396	308
14	308	193
15	200	112
16	176	80
17	86	30
18	112	48
19	73	17
20	84	21
21	54	11
22	60	11
23	52	1
24	69	11
25	55	3
26	24	5
27	43	3
28	37	4
29	48	5
30	41	4
31	42	0
32	33	0
33	32	0
34	35	3
35	27	0
36	36	5
37	20	6
38	26	8
39	25	0
40	22	6
41	27	3
42	26	2
43	23	0
44	26	0
45	17	0
46	21	0
47	11	0
48	24	0
49	19	3
50	17	6
51	17	0
52	17	3
53	14	0
54	17	0
55	14	0
56	16	0
57	14	0
58	11	2
59	15	0
60	16	5
61	14	5
62	16	2
63	14	2
64	10	0
65	14	1
66	16	2
67	12	0
68	16	0
69	10	2
70	10	2
71	10	3
72	6	0
73	8	0
74	10	2
75	12	1
76	8	1
77	11	0
78	10	1
79	9	0
80	9	0
81	8	1
82	12	2
83	14	0
84	16	1
85	11	1
86	6	0
87	6	0
88	5	0
89	7	0
90	8	1
91	9	0
92	12	0
93	5	0
94	2	0
95	7	0
96	9	0
97	9	0
98	7	1
99	7	0
100	9	0
101	6	3
102	6	0
103	7	0
104	4	1
105	8	0
106	4	0
107	4	2
108	5	0
109	9	2
110	6	0
111	4	1
112	6	0
113	5	0
114	7	0
115	6	5
116	6	2
117	5	1
118	4	2
119	9	0
120	6	2
121	4	1
122	6	0
123	10	0
124	1	0
125	10	2
126	6	1
127	8	3
128	5	1
129	2	2
130	3	2
131	4	1
132	6	0
133	7	2
134	9	4
135	3	0
136	3	1
137	5	1
138	7	1
139	5	1
140	6	1
141	4	0
142	4	0
143	4	1
144	3	0
145	2	0
146	3	0
147	5	1
148	6	0
149	7	2
150	6	1
151	6	2
152	2	0
153	4	1
154	1	0
155	3	0
157	3	2
158	2	0
159	3	0
160	2	0
161	2	0
162	2	0
163	2	1
164	3	2
165	6	0
166	2	0
167	4	1
168	2	0
169	2	1
170	5	0
171	4	0
172	5	0
173	3	0
174	8	0
175	6	2
176	2	1
177	2	0
178	4	1
179	3	0
180	3	0
181	1	0
182	2	0
183	0	2
184	2	0
185	3	0
186	1	0
187	2	0
188	2	0
189	3	1
190	3	1
191	4	3
192	3	1
193	3	0
194	3	0
195	3	1
196	5	0
197	1	1
198	1	1
199	5	0
200	2	2
201	3	2
202	2	2
203	3	0
204	5	1
206	3	0
207	2	0
208	3	0
209	2	0
210	4	1
211	1	0
212	3	0
213	3	0
214	2	1
215	2	0
216	3	1
217	3	0
218	1	0
219	2	1
220	2	1
221	4	2
224	2	0
226	7	2
227	1	0
228	2	0
229	2	0
230	2	0
231	4	1
232	3	1
233	3	0
234	2	0
235	1	0
236	1	0
237	1	0
238	2	1
239	2	0
242	2	0
243	1	0
244	2	0
245	4	1
247	1	0
248	1	0
249	1	0
250	2	0
251	4	1
252	2	0
253	1	1
254	2	1
255	1	0
256	3	2
257	1	0
258	2	0
260	1	1
261	4	1
262	1	1
263	3	1
264	3	1
266	3	2
268	2	1
269	1	0
272	1	1
273	2	0
274	0	1
275	1	0
276	3	0
277	1	1
278	1	0
279	3	0
281	2	1
282	2	1
283	1	1
284	1	0
285	1	0
287	2	0
288	3	0
289	1	0
290	2	1
291	6	2
294	3	0
295	1	0
297	2	0
298	1	0
300	1	0
301	1	0
304	1	0
305	2	0
306	2	1
307	2	0
308	2	1
310	1	0
311	3	0
312	3	1
313	2	0
315	1	0
316	1	1
318	1	1
319	2	0
320	1	0
322	1	0
323	1	2
326	2	2
327	1	0
328	0	1
329	1	0
330	0	2
331	2	2
332	1	2
333	3	0
335	2	0
339	0	1
340	1	0
341	1	1
343	3	2
344	1	0
346	1	1
349	0	2
350	2	0
351	1	0
352	3	0
353	0	1
356	1	0
359	2	0
361	2	2
362	1	0
363	1	0
364	1	0
365	1	1
366	0	1
367	0	1
368	1	1
370	1	0
372	1	0
373	1	1
375	0	1
376	1	0
377	1	0
379	1	0
380	1	2
381	2	1
382	1	1
384	1	0
385	4	1
387	1	0
389	0	1
390	1	0
391	1	0
392	1	0
394	3	2
395	1	0
398	3	0
399	3	2
400	1	0
403	2	2
404	1	1
408	0	1
410	1	1
411	1	1
412	1	0
414	1	0
415	1	0
418	3	0
419	1	0
420	1	1
422	0	1
423	1	1
424	1	0
425	0	1
426	1	0
428	1	0
431	1	0
434	2	0
435	0	1
441	0	1
442	1	0
443	0	1
445	1	0
450	1	1
451	1	1
452	1	0
454	1	0
455	1	0
458	0	1
466	1	0
467	1	0
468	0	1
473	0	1
475	0	1
479	1	0
480	1	0
484	0	1
486	0	1
488	2	1
491	0	2
493	0	1
496	1	0
499	1	0
500	0	1
501	1	0
506	0	1
507	0	1
521	1	0
522	1	0
523	1	0
525	0	1
528	0	1
531	0	1
534	1	0
539	0	1
543	1	0
547	2	0
558	0	1
564	1	0
569	0	1
578	0	1
581	1	0
585	1	1
591	1	1
594	1	0
595	1	0
596	1	0
597	1	0
598	0	1
603	1	1
607	1	0
609	1	0
614	1	0
618	1	0
625	1	0
628	0	1
630	1	0
631	2	0
640	1	1
641	2	0
643	2	0
645	0	1
659	1	0
663	0	1
666	1	0
667	0	1
669	0	1
675	1	1
684	0	1
686	1	1
689	1	0
696	1	0
699	0	1
702	1	0
704	1	0
712	0	1
717	0	1
730	0	1
748	0	1
753	1	0
758	0	1
759	1	0
771	1	0
774	0	1
780	0	1
786	0	1
787	0	1
793	1	0
797	1	0
806	0	1
808	0	1
810	1	0
815	0	1
819	0	1
823	0	1
824	0	1
839	0	1
852	0	1
853	0	1
865	0	1
878	0	1
889	1	0
891	1	0
903	0	1
910	0	1
911	1	1
918	0	1
956	0	1
958	0	1
962	0	1
964	0	1
980	0	1
986	0	1
988	0	1
1003	1	0
1029	0	1
1043	0	1
1062	0	1
1064	0	1
1088	0	1
1096	0	1
1112	0	1
1113	1	0
1127	0	1
1131	0	1
1163	0	1
1170	0	1
1202	0	4
1235	0	1
1254	0	2
1262	1	0
1278	0	1
1339	0	1
1363	0	1
1371	0	1
1382	0	1
1389	0	1
1390	0	1
1424	0	1
1466	0	1
1580	0	1
1650	0	1
1652	0	1
1715	0	1
1723	0	1
1779	0	1
1789	0	1
1850	0	1
1860	0	1
1901	0	1
1908	0	1
2096	0	1
2341	0	1
2511	0	1
2598	0	1
2633	0	1
2716	0	1
3050	0	1
3102	0	1
3265	0	1
