counts	instances_pre	instances_post
1	5299899	5029390
2	3252537	3232304
3	2430387	2434046
4	1695680	1703711
5	1092239	1104671
6	661553	670292
7	374727	380288
8	202495	206431
9	102668	105006
10	51657	52884
11	23955	24475
12	11655	11861
13	4914	4990
14	2530	2514
15	1060	991
16	653	571
17	258	183
18	286	186
19	163	67
20	141	67
21	121	28
22	102	32
23	73	2
24	91	24
25	70	10
26	73	8
27	80	6
28	55	15
29	50	9
30	56	5
31	63	8
32	63	5
33	52	2
34	69	4
35	42	2
36	32	6
37	30	6
38	49	2
39	34	4
40	41	5
41	37	2
42	34	2
43	45	5
44	26	1
45	42	4
46	30	4
47	34	7
48	34	7
49	28	6
50	35	4
51	22	10
52	18	2
53	32	4
54	21	3
55	17	4
56	30	6
57	29	5
58	20	4
59	18	6
60	27	7
61	22	8
62	25	7
63	14	1
64	18	4
65	18	4
66	21	2
67	22	6
68	24	6
69	14	6
70	19	1
71	18	1
72	18	7
73	20	3
74	18	4
75	20	3
76	21	4
77	11	5
78	9	3
79	23	7
80	12	3
81	13	4
82	18	7
83	13	3
84	18	5
85	11	4
86	9	2
87	14	4
88	9	2
89	13	6
90	11	7
91	11	3
92	10	3
93	15	4
94	4	1
95	8	4
96	7	4
97	6	4
98	7	3
99	9	4
100	12	1
101	5	2
102	10	5
103	6	3
104	5	2
105	10	4
106	10	6
107	9	5
108	6	2
109	4	1
110	11	6
111	9	3
112	7	2
113	4	3
114	8	4
115	8	3
116	8	1
117	1	2
118	8	3
119	8	4
120	5	2
121	7	1
122	5	1
123	6	1
124	4	2
125	5	4
126	6	3
127	7	1
128	5	5
129	7	5
130	3	3
131	3	2
132	6	3
133	6	3
134	2	2
135	4	0
136	5	3
137	4	0
138	4	0
139	2	1
140	7	3
141	3	3
142	1	1
143	2	1
144	4	2
145	3	1
146	2	1
147	6	0
148	4	2
149	7	0
150	4	3
151	4	2
152	7	3
153	7	3
154	2	2
155	0	1
156	5	1
157	3	1
158	3	2
159	3	1
160	3	0
161	6	1
162	2	1
163	3	1
164	1	0
165	1	1
166	2	2
167	3	0
168	4	3
169	1	0
170	1	1
171	3	1
172	1	1
173	4	0
174	2	3
175	1	2
176	1	1
177	0	1
178	2	1
179	4	2
180	4	1
181	0	2
182	1	1
183	0	2
184	0	2
185	3	0
186	1	2
187	0	1
188	1	0
189	4	1
190	0	2
191	2	1
192	1	2
193	2	1
195	0	1
196	1	1
197	1	1
198	0	1
199	3	1
200	2	1
201	0	1
202	5	1
203	1	1
204	2	1
205	3	2
206	0	1
207	0	1
208	0	3
209	4	1
210	2	1
211	0	2
212	0	1
213	0	1
214	2	1
215	0	1
216	0	1
217	0	4
218	2	1
219	1	3
220	1	1
222	1	0
223	2	1
224	1	3
225	1	0
226	2	0
227	0	2
228	0	1
229	0	2
230	1	0
231	1	0
232	0	1
233	0	1
234	1	1
236	2	2
237	0	2
238	0	2
239	2	1
240	0	1
242	0	1
243	2	0
244	0	1
246	0	2
247	0	1
248	1	0
250	1	2
251	1	2
252	0	2
253	0	1
255	1	1
257	2	0
261	1	1
262	1	0
263	1	0
266	0	1
268	1	1
269	0	1
270	0	1
272	1	0
274	0	1
276	0	3
277	0	1
278	0	1
280	0	1
281	0	1
285	1	0
286	0	1
287	1	0
288	0	1
291	1	0
295	0	1
296	0	2
297	0	1
300	0	2
301	0	1
302	0	1
303	0	1
306	0	1
313	0	2
314	0	1
315	1	1
320	0	1
321	0	1
324	0	1
326	0	1
327	0	1
335	0	1
336	0	1
337	0	1
338	0	2
342	0	1
343	0	1
346	0	1
347	0	1
349	0	1
350	1	2
352	0	1
353	0	1
354	0	1
356	0	1
357	0	1
358	0	1
362	2	0
363	0	1
367	0	1
372	0	2
379	0	1
387	1	0
395	1	2
396	0	1
397	0	1
398	0	2
404	0	1
407	1	0
408	0	1
409	0	3
417	0	1
419	0	1
421	0	1
423	0	2
432	1	1
435	0	1
440	0	1
441	0	1
443	0	3
458	0	1
460	0	1
461	2	0
462	0	1
464	0	1
476	0	1
493	0	1
496	0	1
497	0	1
504	0	2
514	0	1
517	0	2
520	0	1
528	0	1
530	0	1
533	0	1
536	0	1
539	0	1
545	0	1
549	0	1
558	0	1
564	0	1
568	0	1
573	0	1
591	0	1
596	0	1
616	0	1
622	0	1
626	0	1
631	0	1
635	0	1
637	0	1
647	0	1
649	0	1
654	0	1
664	0	1
667	0	1
678	0	1
680	0	1
702	0	1
716	0	1
717	0	1
748	0	1
749	0	1
756	0	1
759	0	1
765	0	1
777	0	2
791	0	1
799	0	1
818	0	1
820	0	1
844	0	1
883	0	1
885	0	1
886	0	1
893	0	1
905	0	1
906	0	1
919	0	4
939	0	1
970	0	1
978	0	1
992	0	1
993	0	1
1008	0	1
1011	0	1
1078	0	1
1084	0	1
1126	0	1
1147	0	1
1160	0	1
1250	0	1
1256	0	1
1269	0	1
1292	0	1
1366	0	1
1369	0	1
1393	0	1
1397	0	2
1412	0	1
1424	0	1
1459	0	1
1472	0	1
1516	0	1
1518	0	1
1550	0	1
1555	0	1
1666	0	1
1750	0	1
1902	0	1
2038	0	1
2039	0	1
2162	0	1
2853	0	1
2860	0	1
2908	0	1
3851	0	1
3860	0	1
4108	0	1
5746	0	1
5911	0	1
13871	0	1
