counts	instances_pre	instances_post
1	11357192	11143583
2	4786767	4810719
3	1940607	1963600
4	731838	742094
5	253775	259415
6	85908	87910
7	26779	27417
8	9254	9503
9	2900	2972
10	1277	1265
11	526	507
12	404	392
13	187	167
14	174	168
15	162	133
16	127	119
17	100	86
18	77	81
19	47	46
20	58	56
21	34	26
22	15	20
23	17	21
24	10	11
25	5	6
26	3	3
27	5	5
28	4	11
29	2	2
30	4	2
31	3	6
32	0	6
33	2	2
34	0	7
35	2	4
36	1	4
37	2	2
38	0	2
39	0	2
40	0	2
42	0	1
43	0	2
45	2	2
48	1	1
51	0	2
52	0	2
53	0	1
54	0	2
55	0	1
57	0	1
58	0	1
60	0	1
68	0	1
69	0	2
70	0	1
72	0	1
73	0	1
74	0	1
76	1	0
88	0	1
89	0	1
92	0	1
95	0	2
101	0	1
107	0	2
121	0	2
125	0	1
127	0	1
147	0	1
151	0	2
158	0	1
197	0	1
205	0	1
215	0	1
239	0	1
241	0	1
314	0	1
338	0	1
424	0	1
463	0	1
3180	0	1
