counts	instances_pre	instances_post
1	11933315	11706100
2	5037567	5058806
3	2093165	2116866
4	817760	828738
5	294832	301614
6	104179	106667
7	33971	34826
8	12072	12395
9	4274	4357
10	1899	1910
11	942	917
12	725	699
13	532	511
14	452	432
15	328	305
16	289	268
17	253	229
18	192	180
19	145	133
20	110	100
21	98	86
22	58	43
23	62	43
24	41	44
25	40	33
26	38	27
27	34	28
28	33	24
29	21	17
30	20	16
31	14	7
32	16	13
33	7	7
34	24	16
35	14	10
36	6	8
37	14	11
38	14	10
39	10	6
40	8	5
41	3	2
42	5	4
43	7	6
44	6	3
45	12	5
46	7	6
47	4	4
48	7	4
49	12	6
50	1	2
51	1	2
52	6	6
53	3	2
54	5	3
55	4	0
56	2	2
57	4	2
58	5	2
59	2	2
60	4	2
61	2	1
62	3	1
63	1	0
64	2	0
65	1	0
66	2	0
67	2	1
68	1	1
69	4	1
70	2	1
71	2	0
74	1	0
75	2	0
76	1	0
78	1	0
80	2	1
81	2	0
83	2	1
84	1	0
85	3	0
86	0	1
88	1	0
90	2	0
92	1	0
93	2	0
94	1	0
95	1	0
96	1	0
98	1	0
100	4	0
102	2	0
103	1	0
104	1	0
107	1	0
109	0	1
114	1	0
115	1	0
119	1	0
120	1	0
121	1	0
139	2	0
145	1	0
156	2	0
169	1	0
187	1	0
204	1	0
224	0	4
243	1	0
307	1	0
316	1	0
355	1	0
370	1	0
378	1	0
382	1	0
400	1	0
405	1	0
422	1	0
425	1	0
458	1	0
487	0	2
514	1	0
592	1	0
5273	1	0
33933	0	1
