counts	instances_pre	instances_post
1	2577697	2127279
2	495960	449389
3	330350	307472
4	286409	270965
5	273246	263057
6	278404	270656
7	286632	279808
8	295816	291933
9	302118	298597
10	301489	299344
11	295703	294486
12	285691	285133
13	271160	270879
14	257735	257919
15	242834	243180
16	230017	230027
17	218050	218488
18	205498	206318
19	195042	195710
20	184229	185535
21	171761	173353
22	159785	161353
23	146013	148012
24	132573	134575
25	117702	119649
26	103758	106003
27	90477	92427
28	77259	79022
29	64698	66564
30	54387	55902
31	44082	45456
32	35787	36844
33	28889	29983
34	23014	23907
35	18165	18801
36	14157	14670
37	10875	11390
38	8685	8997
39	6401	6657
40	4931	5099
41	3802	3972
42	2915	3046
43	2155	2237
44	1734	1755
45	1232	1273
46	991	987
47	702	683
48	624	614
49	435	431
50	376	382
51	249	223
52	223	208
53	145	117
54	170	149
55	134	109
56	119	93
57	88	53
58	98	87
59	62	38
60	80	54
61	56	34
62	78	56
63	43	27
64	73	50
65	43	25
66	49	31
67	32	20
68	32	16
69	33	23
70	35	22
71	41	17
72	42	25
73	23	9
74	21	9
75	26	12
76	24	16
77	16	8
78	22	12
79	23	10
80	18	10
81	30	8
82	23	10
83	14	6
84	17	6
85	18	7
86	20	10
87	16	10
88	17	12
89	17	6
90	16	6
91	12	5
92	14	13
93	16	7
94	18	5
95	9	10
96	20	3
97	16	10
98	18	5
99	17	4
100	13	3
101	18	6
102	18	6
103	14	1
104	11	5
105	9	5
106	8	5
107	8	3
108	6	3
109	9	3
110	9	4
111	9	5
112	5	1
113	10	2
114	16	4
115	7	0
116	9	4
117	8	0
118	9	3
119	3	3
120	7	4
121	8	4
122	7	3
123	8	4
124	10	1
125	7	6
126	4	3
127	9	3
128	4	4
129	7	0
130	5	4
131	10	8
132	4	5
133	4	4
134	4	2
135	4	0
136	4	2
137	4	3
138	8	2
139	1	3
140	4	2
141	3	2
142	4	3
143	8	2
144	3	3
145	1	5
146	2	3
147	7	3
148	2	0
149	3	2
150	1	4
151	8	2
152	4	3
153	2	2
154	8	3
155	3	0
156	2	4
157	3	1
158	3	3
159	4	1
160	2	3
161	2	0
162	5	3
163	1	1
164	3	3
165	3	0
166	3	0
167	1	1
168	1	1
169	3	1
170	3	2
171	1	2
172	2	1
173	0	2
174	3	2
175	1	1
176	2	4
177	2	2
178	3	0
179	2	0
180	2	3
181	1	1
182	2	1
183	1	2
184	0	1
185	2	2
186	1	3
187	4	3
188	1	1
189	1	2
190	0	4
191	0	1
192	1	3
193	1	4
194	1	1
195	5	2
196	1	1
197	0	1
198	2	0
199	0	1
200	2	1
201	1	2
202	1	3
203	2	0
204	1	2
205	2	3
206	1	2
207	2	1
209	0	3
210	1	0
211	1	1
212	1	0
213	1	1
214	0	1
215	0	4
216	3	2
217	1	0
218	3	2
219	1	2
220	1	0
221	0	1
222	2	4
223	0	2
224	1	1
226	0	2
227	1	1
228	0	1
229	1	1
230	0	1
231	0	1
232	0	1
233	1	2
234	2	1
235	2	2
236	0	1
238	1	1
239	2	1
240	0	3
241	0	1
242	0	1
243	0	2
244	0	1
245	0	1
246	1	2
247	0	1
249	1	3
250	1	1
251	1	3
252	1	1
253	1	1
257	0	1
258	1	0
259	0	1
260	0	2
262	1	2
263	0	1
265	0	2
268	1	1
270	0	1
271	0	1
273	0	2
276	0	1
277	0	2
279	1	0
280	0	1
281	1	1
283	0	1
284	1	2
286	0	2
289	0	1
290	1	1
291	0	1
292	1	0
293	0	2
297	0	1
298	1	2
299	0	1
303	1	0
304	1	0
305	1	1
307	0	1
310	0	1
311	0	3
314	0	1
316	1	1
317	1	1
319	0	1
320	0	1
321	0	1
322	0	2
323	0	1
324	0	2
327	0	1
329	0	1
332	0	1
333	1	2
336	0	1
337	0	1
344	1	0
346	0	1
347	1	0
348	0	1
351	0	1
357	0	1
358	0	1
359	0	1
360	0	2
361	0	1
362	0	1
364	0	2
372	1	0
375	0	2
379	0	1
382	0	1
383	0	1
386	0	2
387	1	1
390	0	2
391	0	1
393	1	0
396	0	1
398	0	1
400	0	1
408	0	1
416	0	1
419	0	1
420	0	2
421	0	1
424	0	1
425	0	3
427	0	2
428	0	1
429	0	1
432	0	1
434	0	1
435	0	2
436	0	1
437	0	1
443	0	1
444	0	2
445	0	1
446	0	2
455	0	1
459	0	1
460	0	1
462	0	1
463	1	0
466	0	1
467	0	1
475	1	1
481	0	1
482	0	1
490	1	1
491	0	1
493	0	1
502	0	1
510	0	1
512	0	1
519	0	1
521	0	1
532	0	1
534	0	1
539	0	1
541	0	1
548	1	0
558	0	1
563	0	1
564	0	2
567	0	1
577	0	1
584	1	0
587	0	1
598	0	1
608	0	1
609	0	1
616	0	1
619	1	0
620	0	1
621	0	1
631	0	1
632	0	1
634	0	1
640	0	1
647	0	1
652	0	1
661	0	1
676	0	1
694	0	1
712	0	1
720	0	1
721	0	1
729	0	1
730	0	1
738	0	1
741	0	1
744	0	1
746	0	1
758	0	1
800	0	1
810	0	1
820	0	1
821	0	1
826	0	1
878	0	1
924	0	1
939	0	1
950	0	1
981	0	1
982	0	1
1002	0	1
1015	0	1
1028	0	1
1057	0	1
1068	0	2
1106	0	1
1130	1	0
1144	0	1
1180	0	1
1201	0	1
1210	0	1
1230	0	4
1278	0	1
1340	0	1
1411	0	1
1441	0	1
1558	0	1
1777	0	1
1810	0	1
1879	0	1
1899	0	1
2151	0	1
2431	0	1
2432	0	1
2582	0	1
3048	0	1
3054	0	1
3711	0	1
4060	0	1
7996	0	1
8448	0	1
68263	0	1
