counts	instances_pre	instances_post
1	7223345	6983920
2	3909937	3910097
3	2234077	2251084
4	1191754	1204281
5	588614	599378
6	277189	282829
7	122004	124538
8	52755	54209
9	21237	21871
10	8836	9066
11	3251	3345
12	1537	1580
13	541	528
14	292	302
15	159	146
16	132	117
17	96	81
18	71	69
19	63	59
20	59	49
21	39	23
22	36	35
23	21	15
24	25	19
25	28	20
26	8	9
27	11	12
28	11	11
29	7	3
30	14	12
31	2	4
32	5	6
33	4	4
34	9	5
35	5	5
36	5	5
37	2	1
38	1	1
39	5	1
40	2	2
41	0	3
42	0	2
43	1	2
44	2	1
45	3	3
46	2	0
47	0	2
48	0	1
49	1	1
50	1	1
51	1	2
52	1	0
53	0	1
57	1	0
58	0	1
59	0	1
60	1	1
62	1	1
65	0	2
66	1	1
69	0	1
72	0	1
77	0	1
79	0	1
88	0	1
90	0	2
93	0	1
101	0	1
105	0	1
109	0	1
114	0	1
119	1	0
123	0	1
131	0	1
135	0	1
139	0	1
142	0	1
151	0	1
162	0	1
167	0	1
173	0	1
174	0	1
199	0	1
203	0	1
220	0	1
221	0	1
235	0	1
293	0	1
316	0	1
332	0	1
367	0	1
561	0	1
659	0	1
7050	0	1
