counts	instances_pre	instances_post
1	2517378	2293499
2	998838	980975
3	707809	702139
4	541230	538805
5	427572	427264
6	345523	346021
7	282525	283178
8	230119	230954
9	190172	191444
10	156116	157204
11	128234	129450
12	104779	105754
13	85612	86412
14	69861	70726
15	56352	57366
16	45855	46563
17	36719	37291
18	29931	30374
19	23552	23992
20	18952	19432
21	15171	15365
22	11785	12107
23	9426	9597
24	7440	7575
25	5785	5900
26	4562	4653
27	3500	3556
28	2649	2708
29	1987	2000
30	1573	1562
31	1102	1087
32	876	872
33	662	618
34	498	473
35	398	327
36	320	284
37	213	175
38	180	150
39	137	88
40	123	81
41	82	35
42	96	48
43	67	25
44	60	20
45	60	17
46	68	22
47	54	4
48	50	17
49	42	6
50	34	9
51	37	1
52	32	9
53	37	12
54	38	6
55	32	5
56	33	2
57	35	2
58	30	2
59	32	4
60	33	0
61	27	1
62	28	2
63	33	1
64	27	0
65	34	2
66	29	2
67	21	2
68	29	2
69	30	0
70	30	1
71	15	2
72	23	2
73	25	1
74	11	7
75	29	1
76	19	1
77	11	0
78	15	0
79	16	0
80	17	1
81	22	0
82	18	1
83	15	0
84	24	1
85	16	0
86	20	3
87	18	0
88	20	0
89	17	4
90	16	0
91	12	0
92	23	1
93	15	9
94	15	0
95	13	3
96	13	1
97	13	1
98	7	0
99	14	2
100	19	0
101	10	0
102	19	2
103	16	0
104	8	1
105	23	1
106	12	0
107	11	0
108	9	1
109	10	0
110	11	1
111	11	0
112	13	0
113	13	1
114	8	2
115	13	0
116	14	2
117	11	1
118	14	0
119	8	2
120	13	0
121	11	0
122	9	1
123	5	3
124	11	1
125	17	1
126	10	1
127	11	2
128	4	0
129	11	1
130	11	1
131	14	5
132	9	1
133	9	2
134	6	0
135	13	2
136	11	0
137	11	0
138	14	0
139	7	2
140	10	3
141	7	0
142	9	1
143	11	3
144	11	2
145	3	0
146	9	2
147	11	0
148	7	2
149	8	2
150	6	0
151	10	1
152	3	2
153	5	1
154	11	3
155	4	1
156	9	1
157	8	1
158	2	1
159	4	2
160	6	2
161	10	3
162	9	2
163	9	0
164	9	3
165	5	0
166	7	5
167	5	0
168	5	1
169	12	2
170	6	0
171	7	1
172	8	1
173	4	0
174	10	1
175	10	0
176	7	4
177	5	1
178	9	2
179	6	2
180	5	3
181	7	3
182	10	4
183	5	1
184	4	0
185	7	1
186	2	0
187	9	3
188	6	1
189	5	2
190	1	2
191	8	1
192	6	0
193	4	2
194	4	2
195	11	0
196	5	3
197	4	0
198	5	0
199	6	2
200	9	1
201	4	2
202	4	1
203	5	4
204	6	2
205	11	0
206	1	3
207	4	2
208	5	1
209	7	2
210	4	1
211	6	3
212	5	0
213	3	3
214	4	4
215	3	1
216	5	1
217	7	1
218	10	1
219	3	0
220	10	2
221	4	0
222	0	1
223	4	4
224	4	0
225	6	1
226	6	2
227	3	0
228	2	0
229	2	0
230	3	2
231	4	1
232	6	1
233	6	2
234	3	1
235	1	0
236	4	1
237	6	0
239	6	2
240	5	2
241	3	2
242	1	0
243	7	1
244	3	2
245	1	1
246	5	4
247	7	0
248	10	3
249	2	0
250	6	4
251	6	0
252	0	1
253	5	0
254	5	1
255	3	2
256	4	1
257	5	3
258	1	0
259	3	1
260	6	1
261	1	0
262	3	1
263	5	1
264	2	0
265	2	2
266	5	2
267	1	0
268	2	0
269	3	1
270	0	1
271	3	1
272	6	2
273	1	1
274	5	1
275	4	2
276	4	3
277	4	3
278	1	0
279	3	1
280	2	0
281	7	3
282	1	2
283	1	1
284	4	1
285	4	0
286	2	3
287	5	4
288	4	1
289	4	2
290	2	1
291	1	1
292	3	2
293	5	3
294	2	0
295	2	0
296	3	1
297	1	2
298	0	1
299	2	1
300	4	1
301	5	2
302	7	2
303	2	0
304	1	0
305	3	1
306	3	0
308	2	3
309	2	0
310	1	0
311	4	2
312	2	3
313	1	1
314	2	2
315	4	3
316	1	0
317	1	1
318	1	0
319	2	1
320	2	1
321	4	1
322	3	2
323	1	0
324	3	1
325	2	2
327	2	3
328	1	0
329	3	1
330	1	0
331	5	3
332	1	0
334	2	1
335	1	0
336	3	0
337	1	0
338	1	0
339	3	4
341	1	1
342	4	2
343	1	0
344	2	0
345	3	3
346	1	1
347	1	1
348	5	4
349	3	0
350	1	0
351	2	0
352	5	1
353	5	2
354	2	2
357	2	2
360	5	0
361	1	0
362	3	0
363	3	0
364	3	2
365	1	1
366	1	0
367	3	1
368	1	1
369	3	1
370	1	1
371	3	1
372	1	2
373	2	0
374	2	2
375	1	1
376	3	0
377	1	1
379	3	2
380	2	1
381	2	0
382	1	0
383	1	1
384	2	0
385	1	2
386	1	0
387	0	1
388	2	0
391	0	2
392	1	2
394	1	0
395	5	1
396	0	1
397	1	2
398	2	2
399	2	0
403	2	0
404	0	1
405	2	1
407	0	1
408	2	0
410	1	1
411	1	0
412	1	0
414	1	0
415	2	1
416	1	0
417	1	1
419	2	0
420	0	1
421	0	1
422	1	1
424	1	1
425	1	0
426	2	1
427	0	1
428	1	1
429	1	0
430	1	0
431	0	1
435	1	0
436	1	1
438	1	1
439	3	0
440	1	0
441	1	0
442	1	2
443	1	1
444	0	1
445	1	0
447	1	2
448	1	0
449	0	2
450	0	1
451	2	1
