counts	instances_pre	instances_post
1	2189944	1913321
2	963073	923401
3	940964	922994
4	926639	917712
5	869141	867946
6	783471	784179
7	680630	681673
8	578972	583109
9	480384	484525
10	389448	394160
11	305516	309699
12	233839	237812
13	172113	175573
14	124159	127177
15	85696	87917
16	58551	60203
17	37941	39037
18	25162	26094
19	15411	15923
20	9876	10246
21	5906	6104
22	3582	3701
23	2075	2199
24	1356	1405
25	744	749
26	492	494
27	267	285
28	215	229
29	117	116
30	110	110
31	52	54
32	65	60
33	27	26
34	29	25
35	12	11
36	36	36
37	10	9
38	27	20
39	4	5
40	8	8
41	7	2
42	6	7
43	1	1
44	8	7
45	9	5
46	4	2
47	3	2
48	5	4
49	3	0
50	2	2
51	3	2
52	1	0
54	1	0
56	1	1
57	1	1
58	0	1
59	1	0
60	2	1
61	0	1
62	2	1
63	1	2
64	2	2
65	3	2
66	0	1
67	0	2
68	1	1
69	1	6
70	2	2
71	1	1
72	2	3
73	1	1
74	0	3
77	0	1
78	1	0
80	2	1
81	1	0
82	1	0
84	0	1
85	0	2
86	0	1
87	0	1
88	0	1
90	1	2
91	0	1
92	0	2
93	0	1
94	1	0
97	1	0
98	0	1
99	0	3
102	0	2
104	1	0
105	0	1
106	1	0
109	1	1
114	0	1
122	0	1
133	0	1
135	0	1
144	1	0
146	0	1
148	1	0
152	0	1
156	0	1
159	0	1
172	0	1
175	0	2
182	0	1
220	2	0
252	0	1
268	0	1
275	0	1
287	1	0
296	0	1
297	1	0
374	0	1
738	0	1
2001	1	0
16422	0	1
