counts	instances_pre	instances_post
1	2619570	2387116
2	1532970	1501307
3	1394786	1385407
4	1211331	1209852
5	988635	994306
6	770296	776640
7	568890	574735
8	406529	412630
9	274154	278894
10	178346	181751
11	110606	113357
12	67256	69057
13	38541	39592
14	22246	22937
15	11848	12308
16	6661	6858
17	3255	3397
18	1977	2034
19	891	933
20	554	579
21	237	249
22	175	185
23	51	55
24	80	84
25	30	32
26	40	43
27	10	11
28	31	33
29	8	10
30	16	15
31	1	3
32	13	14
33	2	2
34	2	2
35	2	3
36	7	9
37	0	1
38	2	6
39	3	1
40	1	0
41	1	0
42	1	1
43	2	3
44	1	1
45	3	3
47	0	3
48	0	2
49	0	1
53	1	0
59	1	0
64	1	1
65	0	1
67	0	1
69	0	1
70	0	1
75	0	1
83	1	0
87	0	1
98	0	1
103	1	0
115	0	1
118	0	1
128	0	1
144	0	1
153	0	1
173	0	1
191	0	1
288	0	1
316	0	1
496	0	1
804	0	1
2363	0	1
