counts	instances_pre	instances_post
1	2564577	2331700
2	1243158	1215583
3	1138920	1128930
4	1040195	1035373
5	899579	901523
6	748654	751429
7	604811	607532
8	478976	483344
9	369457	373474
10	278584	281840
11	205010	208172
12	147690	150122
13	102240	104525
14	69738	71273
15	45806	47127
16	29432	30215
17	18579	19142
18	11531	11923
19	6782	7015
20	4391	4570
21	2387	2491
22	1629	1678
23	807	837
24	582	610
25	288	287
26	214	227
27	104	105
28	118	114
29	27	26
30	55	51
31	20	15
32	34	35
33	25	21
34	12	9
35	10	6
36	24	23
37	11	9
38	5	6
39	3	3
40	18	17
41	2	3
42	12	7
43	2	1
44	5	7
45	3	0
46	2	2
47	2	2
48	2	3
49	2	0
50	2	2
51	2	1
52	2	1
54	2	1
55	0	2
56	1	0
57	1	2
58	2	2
59	1	1
61	1	0
62	2	2
63	0	2
69	0	1
70	1	0
72	1	1
73	2	1
77	1	1
79	0	1
80	0	1
82	0	2
83	0	2
84	1	1
85	0	1
94	1	0
98	0	1
99	0	1
108	1	0
114	0	1
115	0	1
133	1	0
150	1	0
162	1	0
183	0	1
215	0	1
472	0	1
586	0	1
897	0	1
1411	0	1
2570	0	1
5656	0	1
