counts	instances_pre	instances_post
1	2610216	2208175
2	1033245	990583
3	955906	937080
4	926895	917138
5	867707	864730
6	782193	782636
7	679965	681919
8	580128	584589
9	483120	487831
10	396436	401052
11	317276	322576
12	248255	252858
13	188972	193681
14	140477	144507
15	101887	104827
16	71783	74596
17	48561	50513
18	33057	34592
19	21561	22482
20	14438	15184
21	9032	9512
22	5743	6078
23	3467	3676
24	2278	2408
25	1345	1452
26	927	988
27	476	502
28	399	435
29	179	205
30	202	203
31	72	85
32	94	98
33	49	47
34	52	54
35	35	38
36	61	57
37	15	17
38	22	27
39	13	16
40	29	29
41	6	6
42	24	23
43	9	14
44	13	14
45	12	10
46	5	12
47	2	3
48	14	14
49	7	6
50	8	9
51	5	7
52	4	7
54	1	3
55	2	3
56	2	5
57	2	3
58	1	1
59	0	1
61	1	3
63	2	3
64	1	3
65	2	3
66	2	2
67	2	0
68	0	2
69	0	3
70	1	2
71	0	1
72	1	1
73	1	2
74	1	1
76	0	1
77	0	1
78	0	3
79	0	2
84	0	2
87	0	1
89	0	1
90	1	1
91	0	1
94	0	1
95	0	1
98	0	1
102	0	1
105	0	1
107	0	2
108	1	0
117	0	1
118	0	1
131	0	1
133	0	2
135	0	1
138	0	1
142	0	1
147	0	1
166	0	1
179	0	1
187	0	1
211	0	1
242	0	1
251	0	1
280	0	1
290	0	1
322	0	1
344	0	1
626	0	1
634	0	1
2143	0	1
