counts	instances_pre	instances_post
1	6592907	6354483
2	3537526	3531014
3	2170288	2182901
4	1294957	1304639
5	733352	744855
6	398791	405523
7	204774	208403
8	102742	105214
9	47896	49167
10	22603	23246
11	9805	10177
12	4528	4643
13	1709	1774
14	964	983
15	302	306
16	249	254
17	71	67
18	79	87
19	22	21
20	35	32
21	16	15
22	21	25
23	5	3
24	20	24
25	5	7
26	2	1
27	2	3
28	5	7
29	3	3
30	3	6
31	0	3
32	0	1
33	3	1
34	2	4
35	1	3
36	2	3
37	2	0
38	1	2
39	1	0
40	0	3
41	1	2
42	0	1
43	1	3
44	0	1
45	1	1
46	0	2
47	1	1
48	0	1
49	1	0
50	3	3
51	0	1
52	0	1
53	0	2
55	1	1
57	1	2
58	1	2
62	0	1
65	0	1
66	0	1
70	0	1
71	0	2
74	0	1
76	1	1
80	0	1
82	0	1
85	0	1
86	0	1
90	0	1
91	1	1
92	0	1
93	1	2
98	1	1
99	0	1
102	0	1
105	0	1
108	0	1
109	0	1
115	0	1
127	0	1
152	0	1
155	0	1
174	0	1
185	0	1
279	0	1
289	0	1
303	0	1
494	0	1
2103	0	1
