counts	instances_pre	instances_post
1	2321308	1996364
2	650417	611620
3	509509	490977
4	471798	459975
5	458431	452015
6	453850	449710
7	441118	437903
8	424889	424321
9	400407	400317
10	367362	367806
11	331916	333296
12	298495	300353
13	264130	265516
14	234675	236248
15	207696	209643
16	183531	185343
17	160654	162496
18	141190	143090
19	122998	124845
20	105359	107174
21	89331	91176
22	74712	76418
23	61088	62697
24	50280	51587
25	39679	40873
26	31567	32414
27	24414	25157
28	18914	19626
29	14037	14633
30	10648	11092
31	7804	8096
32	5808	6039
33	3989	4218
34	3188	3294
35	2110	2264
36	1600	1659
37	1000	1052
38	839	891
39	476	496
40	434	437
41	270	289
42	242	252
43	132	141
44	152	154
45	66	84
46	84	79
47	41	47
48	53	48
49	19	20
50	49	52
51	18	21
52	21	21
53	8	9
54	19	22
55	6	10
56	13	14
57	8	8
58	12	12
59	3	3
60	12	13
61	4	4
62	5	5
63	2	3
64	9	9
65	3	3
66	7	7
68	4	3
69	3	3
70	1	2
72	2	2
73	1	2
74	1	1
75	3	3
76	3	4
77	4	3
78	1	1
80	1	1
81	0	1
84	1	1
86	1	1
91	0	1
97	1	1
98	2	2
102	0	1
105	1	1
107	0	1
114	0	1
126	0	1
135	0	1
165	1	1
196	0	1
282	0	1
1531	0	1
