counts	instances_pre	instances_post
1	10615385	10139215
2	5472301	5478752
3	3085121	3119389
4	1672056	1696050
5	849945	870578
6	422939	433685
7	195562	201074
8	91179	94338
9	39448	40987
10	18078	18761
11	7324	7692
12	3952	4101
13	1494	1561
14	1091	1139
15	424	432
16	389	401
17	159	166
18	131	142
19	46	51
20	56	55
21	37	37
22	26	28
23	11	14
24	24	24
25	8	8
26	7	10
27	2	3
28	2	2
30	4	4
31	0	1
32	1	2
33	0	1
34	0	2
36	0	1
37	0	1
38	0	2
39	0	2
41	0	1
42	0	1
43	0	2
44	1	2
45	0	1
48	0	2
51	0	1
53	0	1
54	0	1
56	0	2
60	0	1
62	0	1
70	0	1
71	0	1
72	0	1
83	0	1
84	0	1
87	0	1
106	0	1
111	0	1
163	0	1
165	0	1
174	0	1
175	0	1
201	0	1
285	0	1
1025	0	1
