counts	instances_pre	instances_post
1	13124710	12826094
2	5142178	5179356
3	1990563	2023782
4	739277	752833
5	251997	259251
6	85712	88576
7	26006	26873
8	9089	9412
9	2560	2629
10	1037	1049
11	257	226
12	375	350
13	74	51
14	74	55
15	52	33
16	73	64
17	26	15
18	28	25
19	13	7
20	39	28
21	17	13
22	22	6
23	12	8
24	30	18
25	12	6
26	11	4
27	11	4
28	10	5
29	8	3
30	3	3
31	7	10
32	3	3
33	6	4
34	3	3
35	3	4
36	2	2
37	4	3
38	2	4
39	3	1
40	2	1
41	0	4
42	1	1
43	4	3
44	0	3
45	1	2
46	0	5
47	0	3
48	0	4
49	0	1
50	1	1
51	1	1
52	1	0
53	0	1
54	0	1
55	0	3
57	1	2
58	1	1
59	0	1
61	1	1
66	0	1
67	0	1
69	0	1
72	0	1
74	0	2
75	0	3
76	0	1
78	0	1
83	0	2
85	0	2
89	0	2
92	0	1
94	0	1
96	0	2
102	0	1
105	0	1
111	0	1
118	0	2
127	0	1
129	0	2
132	0	2
156	0	1
164	0	1
177	0	1
185	0	1
187	0	1
194	0	1
236	0	1
257	0	1
289	0	1
298	0	1
299	0	1
469	0	1
531	0	1
741	0	1
1325	0	1
1730	0	1
