counts	instances_pre	instances_post
1	11436609	10913149
2	6027402	6001186
3	3643511	3651758
4	2101836	2111522
5	1137567	1149375
6	593995	600403
7	297373	300078
8	154674	156088
9	83179	83381
10	52523	52174
11	36638	36135
12	31916	31101
13	28415	27769
14	27148	26564
15	26677	25861
16	26947	26305
17	26946	26401
18	27500	26872
19	28207	27607
20	29010	28328
21	29285	28973
22	30004	29626
23	30210	29767
24	30844	30451
25	30732	30639
26	30577	30530
27	30050	29939
28	29326	29379
29	27999	28145
30	27183	27341
31	25871	25975
32	24330	24555
33	23297	23465
34	21699	21829
35	20312	20541
36	18740	18789
37	17543	17826
38	16434	16397
39	15331	15463
40	14760	14747
41	13850	13925
42	13216	13376
43	12931	12913
44	12677	12582
45	12230	12212
46	12253	12153
47	11857	11842
48	11622	11560
49	11581	11642
50	11329	11485
51	11183	11069
52	11101	11121
53	10826	10906
54	10629	10871
55	10109	10231
56	10038	10016
57	9482	9662
58	9036	9188
59	8607	8894
60	8560	8564
61	7828	8140
62	7484	7654
63	7021	7179
64	6439	6597
65	5991	6233
66	5515	5701
67	5108	5264
68	4622	4737
69	4216	4310
70	3661	3849
71	3340	3497
72	3106	3215
73	2898	2907
74	2477	2661
75	2115	2298
76	1946	1945
77	1782	1881
78	1529	1622
79	1347	1421
80	1182	1239
81	1011	1064
82	890	945
83	739	774
84	666	728
85	582	582
86	571	570
87	443	450
88	441	457
89	310	301
90	305	318
91	252	265
92	214	226
93	164	167
94	153	137
95	171	156
96	151	152
97	94	87
98	107	94
99	80	74
100	76	67
101	65	58
102	62	59
103	58	44
104	59	66
105	38	30
106	47	37
107	36	19
108	37	25
109	26	18
110	29	25
111	35	22
112	22	11
113	19	9
114	26	16
115	23	15
116	26	22
117	23	7
118	24	21
119	21	10
120	26	19
121	17	3
122	26	19
123	15	10
124	20	5
125	17	16
126	22	20
127	13	7
128	17	14
129	9	1
130	17	6
131	12	5
132	14	12
133	16	8
134	17	10
135	12	8
136	19	11
137	11	1
138	20	6
139	10	1
140	9	8
141	6	2
142	21	12
143	4	3
144	12	2
145	8	5
146	15	4
147	11	2
148	17	5
149	9	2
150	11	1
151	9	3
152	7	6
153	4	5
154	12	2
155	4	2
156	10	6
157	5	0
158	6	4
159	7	2
160	6	3
161	11	3
162	9	3
163	11	4
164	8	3
165	9	0
166	5	1
167	9	3
168	7	1
169	6	1
170	9	2
171	6	1
172	5	1
173	3	2
174	6	1
175	2	0
176	3	0
177	4	0
178	7	0
179	7	1
180	7	1
181	4	0
182	2	3
183	6	2
184	4	3
185	6	2
186	9	1
187	4	2
188	7	1
189	6	3
190	6	0
191	2	1
192	5	3
193	6	1
194	1	0
195	4	1
196	4	2
197	4	1
198	9	1
199	5	1
200	4	2
201	6	0
202	2	1
203	2	0
204	4	0
205	7	2
206	3	2
207	3	1
208	8	5
209	6	2
210	6	2
211	6	2
212	4	0
213	2	1
214	3	0
215	2	1
216	8	2
217	3	1
218	2	0
219	2	2
220	4	2
221	2	0
222	4	1
223	4	0
224	5	1
225	3	0
226	5	0
227	4	0
228	4	1
229	5	3
230	5	2
231	3	1
232	4	2
233	4	2
234	0	1
235	2	1
236	3	2
237	2	1
238	7	1
239	2	2
240	5	1
241	0	1
242	2	1
243	2	1
244	2	1
245	3	3
246	3	0
247	3	1
248	2	2
249	2	1
250	2	0
251	1	0
252	5	3
253	5	1
254	2	2
255	3	1
256	2	0
257	2	1
258	1	1
259	2	1
261	2	0
262	7	0
263	4	1
264	2	1
265	1	1
266	1	1
267	2	0
269	2	0
270	2	0
271	4	2
272	1	0
273	5	1
275	2	0
276	2	1
277	3	0
278	3	0
279	1	0
280	1	1
281	2	0
282	2	0
283	1	0
284	2	2
285	2	0
286	1	1
287	2	1
288	2	1
289	2	3
290	3	2
291	4	0
292	2	1
293	2	0
294	2	1
296	2	1
297	1	1
298	2	0
299	1	1
300	4	1
301	0	1
303	1	1
304	2	1
305	4	1
306	2	0
307	0	1
308	0	1
309	0	1
310	2	1
311	0	1
313	3	2
314	2	1
315	3	1
316	2	1
317	5	0
318	0	1
319	1	2
320	0	1
321	2	1
322	1	1
323	1	1
325	4	2
326	1	1
328	1	0
329	1	0
330	1	0
331	3	0
332	3	2
333	2	1
334	0	1
335	1	0
336	2	1
337	2	1
338	3	1
342	4	2
343	1	0
344	1	0
345	1	0
347	1	0
348	4	0
349	1	1
351	1	1
353	2	1
354	1	1
355	2	0
356	2	0
357	3	0
358	5	1
359	0	1
360	2	0
361	0	1
362	3	2
363	1	0
364	3	0
365	1	1
366	1	1
367	1	0
368	0	1
369	1	0
370	1	1
371	1	0
374	0	2
375	0	1
376	1	0
377	2	0
378	0	1
379	1	0
380	2	0
381	1	0
382	1	0
383	0	1
384	1	0
385	2	0
386	2	1
387	0	1
388	1	0
389	1	0
390	4	0
391	2	0
393	1	0
395	0	2
396	1	0
397	1	0
398	2	0
399	4	1
401	1	1
403	1	0
404	1	0
405	2	1
406	2	2
407	4	0
408	1	0
409	1	1
410	2	1
411	1	0
412	1	2
414	2	0
415	2	1
419	2	0
420	1	0
422	1	1
425	0	1
427	1	2
432	1	2
433	1	0
434	1	2
436	0	1
439	0	1
440	2	0
442	1	0
443	0	1
444	1	0
445	2	0
446	1	0
449	1	0
450	0	1
453	0	1
455	1	0
456	0	1
458	1	0
461	0	1
462	0	1
464	0	1
465	0	1
466	0	2
467	1	1
469	0	1
471	0	1
473	1	0
475	0	1
476	0	1
477	0	1
480	1	2
484	1	1
486	0	1
487	1	0
488	1	0
492	1	0
493	0	1
494	1	0
495	0	1
496	1	0
500	2	0
505	1	0
508	0	1
511	1	0
512	2	0
514	1	0
517	0	1
519	1	1
529	0	1
530	0	1
537	1	1
539	1	0
541	0	1
543	0	1
544	1	0
545	1	0
553	0	1
554	1	0
562	0	3
567	1	0
569	1	0
571	1	0
575	0	1
576	0	1
577	1	0
580	2	0
585	0	1
587	1	0
589	0	2
593	2	0
599	1	0
604	1	1
605	1	0
608	1	0
609	1	0
610	1	0
614	1	0
616	0	1
621	0	1
623	1	0
627	1	0
633	1	0
634	1	0
641	0	1
642	1	1
643	0	1
645	1	1
650	0	1
653	0	1
654	1	0
656	1	1
661	0	1
662	0	1
668	0	1
674	0	1
680	0	1
692	0	1
696	0	1
704	0	1
705	1	0
710	1	0
712	0	1
716	0	1
717	1	0
721	1	0
725	1	0
736	0	1
738	1	0
742	0	1
765	0	1
768	2	1
769	1	0
771	0	1
783	1	0
785	0	1
790	0	1
792	0	1
797	0	2
798	1	0
813	1	0
815	0	1
822	1	0
824	0	1
830	0	1
832	0	1
835	0	1
837	0	1
841	1	0
844	1	0
848	0	1
863	0	1
867	0	1
873	0	1
874	0	2
904	0	1
908	1	0
909	1	0
923	0	1
940	0	1
955	0	1
957	1	0
973	0	1
979	0	1
983	0	1
986	0	1
995	0	1
997	0	1
1018	0	1
1060	0	1
1081	1	0
1116	0	1
1124	0	1
1187	1	0
1188	0	1
1196	0	1
1198	0	1
1202	0	1
1224	0	1
1237	0	1
1314	1	0
1357	0	1
1410	0	1
1413	0	1
1427	0	1
1434	1	0
1454	0	1
1466	0	1
1508	0	1
1659	1	0
1688	0	1
1726	0	1
1852	0	1
1869	1	0
1888	0	1
1890	0	1
1902	1	0
1907	0	1
1934	1	0
2017	0	1
2051	0	1
2053	0	1
2080	0	1
2130	0	1
2153	0	1
2182	1	0
2186	0	1
2218	0	1
2229	0	1
2300	1	0
2334	0	4
2348	0	1
2388	1	0
2427	0	1
2482	0	1
2517	0	1
2528	0	1
2552	0	1
2651	1	0
2763	0	1
3044	1	0
3099	1	0
3188	0	1
3228	0	1
3432	0	1
3442	0	1
4238	0	1
4240	0	1
4805	0	1
4982	0	1
5858	0	1
15874	1	0
281637	0	1
