counts	instances_pre	instances_post
1	2977625	2772306
2	1655606	1636720
3	1362858	1359507
4	1088171	1088599
5	824780	830405
6	600651	606127
7	418799	423473
8	284573	289074
9	184955	188241
10	117093	119484
11	70309	72004
12	41770	42952
13	23346	23949
14	13174	13633
15	7033	7328
16	3850	4000
17	1816	1876
18	1074	1097
19	478	472
20	326	335
21	154	143
22	124	109
23	61	57
24	69	54
25	28	16
26	23	20
27	18	9
28	24	7
29	14	6
30	20	8
31	8	3
32	8	2
33	12	5
34	9	7
35	8	1
36	11	5
37	9	2
38	9	4
39	7	1
40	8	3
41	4	0
42	5	1
43	5	3
44	5	1
45	4	2
46	3	2
47	3	1
49	7	0
50	4	1
51	4	1
52	3	1
53	2	0
54	1	5
55	4	3
56	3	2
57	2	0
58	4	2
59	4	0
60	2	1
61	5	0
62	2	1
63	2	1
64	0	1
65	1	1
66	2	1
68	4	2
70	2	0
71	2	0
72	0	1
73	2	0
74	1	1
75	0	1
76	0	1
77	6	1
78	2	0
79	2	2
80	1	0
81	2	1
83	1	0
84	1	0
85	0	1
86	1	1
87	1	1
88	1	0
89	0	1
90	2	0
92	1	1
93	1	1
94	1	0
95	3	0
100	3	1
102	1	1
103	0	1
104	1	0
106	2	1
108	1	1
109	1	2
112	0	1
113	1	0
117	0	1
122	0	2
124	0	1
125	0	1
127	1	1
128	1	0
130	0	1
134	0	1
135	0	1
139	0	1
141	0	1
142	0	1
143	1	0
144	1	0
145	0	1
147	0	1
151	0	2
156	0	1
159	0	4
170	1	0
184	0	1
186	1	0
213	0	1
217	0	1
220	0	2
232	1	0
237	0	1
248	0	1
250	0	1
254	0	1
261	0	1
270	0	1
279	0	1
318	0	1
321	0	2
462	0	1
464	0	1
470	0	1
500	0	1
520	0	1
585	0	1
671	0	1
856	0	1
881	0	1
2179	0	1
3268	0	1
5446	0	1
