counts	instances_pre	instances_post
1	7833522	7596709
2	4270493	4270494
3	2522196	2537212
4	1397330	1408600
5	718281	728539
6	349698	355759
7	159255	162314
8	70864	72517
9	29475	30220
10	12809	13141
11	5195	5316
12	2846	2874
13	1271	1270
14	893	879
15	631	582
16	569	559
17	455	422
18	420	400
19	348	318
20	320	301
21	291	284
22	262	226
23	227	217
24	207	190
25	208	189
26	180	176
27	168	146
28	158	146
29	142	135
30	129	126
31	123	108
32	99	96
33	87	67
34	93	95
35	56	48
36	57	56
37	39	36
38	43	36
39	35	24
40	34	27
41	20	19
42	20	17
43	18	13
44	23	21
45	13	4
46	9	11
47	10	5
48	8	2
49	8	8
50	7	2
51	4	4
52	3	4
53	10	4
54	6	2
55	4	1
56	5	0
57	2	1
58	4	3
59	2	0
60	2	2
61	3	2
62	2	2
63	3	2
64	1	1
65	4	2
66	2	1
67	2	2
68	1	0
69	1	1
70	1	4
71	2	1
72	3	3
73	3	1
74	2	1
75	4	1
76	1	3
78	2	0
79	1	1
80	2	2
81	2	0
82	2	1
83	1	0
85	1	0
86	1	1
87	4	0
88	2	0
89	1	1
90	0	1
91	1	0
92	1	1
94	1	0
95	1	2
96	0	1
97	0	2
98	1	0
99	0	1
100	1	1
105	1	0
108	0	3
109	1	2
110	0	1
112	0	1
116	1	0
117	0	1
119	1	1
120	2	0
121	1	0
122	1	0
123	0	4
125	1	1
126	0	1
127	0	1
128	1	0
129	0	1
131	0	1
133	0	1
136	1	0
137	1	1
139	0	1
143	0	1
148	0	1
149	0	1
152	0	1
155	0	2
159	1	0
160	0	1
161	0	1
164	0	1
166	0	1
167	0	1
183	0	1
185	0	1
187	0	1
194	0	1
195	0	2
203	0	1
207	0	1
210	0	1
214	0	1
221	0	2
226	0	1
232	0	1
250	0	1
253	0	1
256	0	2
265	0	1
269	0	1
276	0	1
300	0	1
314	0	1
324	0	1
372	0	1
380	0	1
397	0	1
408	0	1
424	0	1
437	0	1
455	0	1
474	0	1
502	0	2
505	0	1
519	0	1
533	0	1
540	0	1
745	0	1
846	0	1
964	0	1
969	0	1
1222	0	1
2308	0	1
3886	0	1
