counts	instances_pre	instances_post
1	8822637	8522577
2	4139923	4151577
3	2124849	2148383
4	1059282	1074593
5	500368	511926
6	229881	235602
7	98961	101724
8	42114	43456
9	17009	17622
10	6893	7155
11	2597	2662
12	1312	1325
13	410	381
14	285	251
15	147	107
16	146	117
17	73	42
18	65	45
19	35	24
20	52	40
21	46	26
22	39	26
23	49	33
24	37	25
25	31	24
26	36	23
27	43	19
28	23	15
29	30	17
30	24	16
31	29	17
32	24	25
33	24	16
34	22	17
35	20	16
36	21	18
37	17	21
38	10	8
39	19	10
40	17	12
41	7	5
42	15	13
43	14	11
44	15	12
45	7	9
46	4	8
47	11	5
48	12	7
49	8	13
50	14	9
51	7	5
52	9	7
53	6	8
54	10	12
55	9	5
56	4	7
57	5	3
58	10	11
59	7	8
60	6	6
61	12	9
62	4	11
63	14	11
64	6	6
65	11	12
66	2	4
67	3	4
68	2	3
69	5	4
70	8	8
71	6	9
72	3	2
73	4	4
74	2	5
75	1	3
76	4	3
77	3	3
78	5	5
79	4	5
80	1	1
81	0	1
82	1	3
83	0	2
84	1	0
85	1	3
86	1	1
89	0	1
90	0	2
91	2	2
92	1	0
93	0	1
94	0	1
95	0	2
96	0	1
99	0	2
100	0	1
102	1	2
103	0	1
104	0	1
105	0	2
110	0	2
111	0	3
112	0	1
113	0	1
114	0	1
115	0	1
117	0	1
119	0	1
120	0	1
122	0	1
126	0	4
127	0	1
128	0	1
129	0	1
134	0	1
141	0	1
142	0	1
152	0	1
154	0	1
163	0	1
164	0	3
165	0	1
166	0	1
167	0	1
170	0	1
171	0	1
173	0	1
196	0	1
201	0	1
205	0	1
206	0	1
207	0	1
218	0	1
235	0	2
258	0	1
278	0	1
281	0	1
284	0	1
304	0	1
324	0	1
328	0	1
345	0	1
370	0	1
383	0	1
433	0	1
477	0	1
483	0	1
664	0	1
687	0	1
719	0	1
959	0	1
1498	0	1
1577	0	1
2621	0	1
