counts	instances_pre	instances_post
1	2450237	2082311
2	652345	609244
3	481099	460385
4	427919	415199
5	402936	395559
6	391275	386433
7	384249	379396
8	374477	373148
9	361455	359873
10	344900	344419
11	323337	323659
12	300242	301464
13	274115	275366
14	250194	251645
15	225629	226850
16	203989	205061
17	183465	185214
18	165150	166719
19	149627	150799
20	134050	135760
21	119757	121313
22	106678	108071
23	92751	94564
24	81082	82931
25	69836	71134
26	59159	60610
27	49313	50416
28	40642	41926
29	33045	33997
30	26939	27710
31	20890	21624
32	16635	17251
33	12681	13153
34	9812	10244
35	7411	7794
36	5366	5592
37	4204	4323
38	3091	3240
39	2229	2284
40	1669	1774
41	1148	1211
42	956	991
43	609	638
44	474	486
45	348	357
46	293	308
47	181	199
48	217	226
49	89	80
50	124	131
51	67	66
52	70	72
53	36	42
54	55	58
55	27	30
56	47	46
57	23	20
58	26	28
59	14	15
60	33	35
61	7	8
62	17	17
63	7	8
64	8	9
65	13	11
66	14	14
67	6	3
68	7	8
69	10	9
70	9	9
71	12	8
72	7	6
73	0	5
74	4	4
75	6	9
76	6	3
77	2	5
78	6	4
79	3	3
80	2	4
81	3	5
82	3	1
83	1	2
84	5	4
85	4	4
86	2	4
87	1	1
88	1	1
89	2	2
92	4	2
93	1	1
94	3	3
96	2	1
97	0	1
98	1	1
99	0	1
101	0	3
102	0	2
103	1	2
104	1	2
105	2	1
106	1	1
107	2	1
108	1	3
110	0	2
111	0	2
112	1	3
113	0	2
114	1	3
115	1	0
116	0	1
117	0	1
118	0	3
119	1	0
122	1	2
124	1	1
126	0	2
127	0	1
128	0	2
130	0	2
131	0	1
132	0	1
134	1	1
136	0	2
139	1	1
140	0	1
141	0	1
143	0	1
144	0	1
145	1	0
146	0	1
148	1	1
149	0	1
153	0	2
155	0	1
157	0	1
159	0	1
161	0	2
162	0	1
163	0	1
164	0	1
165	0	1
166	0	1
169	0	1
171	0	1
172	0	1
174	0	1
175	0	1
187	0	1
190	1	0
194	0	1
199	0	2
200	0	1
202	0	1
203	0	1
207	0	1
211	0	1
218	0	1
219	0	2
223	0	1
225	0	1
231	0	1
236	0	1
244	0	1
247	0	1
249	0	1
261	0	1
267	0	1
273	0	1
275	0	1
276	0	1
283	0	1
285	0	1
288	0	1
306	0	1
341	0	1
355	0	1
356	0	1
380	0	1
385	0	1
390	0	1
397	0	1
420	0	1
447	0	1
453	0	1
493	0	1
502	0	1
537	0	1
565	0	1
590	0	1
623	0	1
631	0	1
655	0	1
748	0	1
757	0	1
855	0	1
1063	0	1
1067	0	1
1106	0	1
1386	0	1
1660	0	1
2299	0	1
3123	0	1
