counts	instances_pre	instances_post
1	2711026	2375423
2	1244628	1205260
3	1032555	1017621
4	910460	903305
5	795182	795707
6	687509	689752
7	579260	581694
8	483621	487962
9	396012	400198
10	320516	324244
11	254493	258651
12	200301	204137
13	154499	157364
14	116603	119462
15	85812	88238
16	62814	64631
17	43776	45178
18	30822	32026
19	20601	21214
20	13892	14530
21	8959	9366
22	5730	5991
23	3539	3700
24	2500	2617
25	1362	1424
26	948	992
27	492	529
28	382	413
29	191	208
30	226	237
31	76	88
32	113	126
33	46	51
34	71	75
35	24	28
36	58	59
37	13	13
38	31	37
39	13	15
40	27	37
41	7	7
42	19	17
43	2	6
44	7	11
45	7	8
46	7	12
47	3	8
48	7	6
49	1	3
50	1	6
51	2	5
52	4	7
53	0	1
54	1	1
56	4	6
57	1	1
58	1	1
60	3	4
61	0	1
62	0	2
63	0	1
64	2	2
65	0	1
66	0	1
67	0	1
68	0	2
69	0	1
70	1	1
71	0	2
75	0	2
76	0	1
78	0	2
82	0	1
84	0	1
90	0	1
95	0	2
97	0	1
98	0	2
100	0	2
102	0	1
104	0	1
109	0	2
134	0	1
136	0	2
143	0	1
145	0	1
146	0	1
149	0	1
153	0	1
154	0	1
155	0	1
156	0	1
166	0	1
174	0	1
179	0	1
181	0	1
188	0	1
210	0	1
252	0	1
263	0	1
266	0	1
320	0	1
371	0	1
409	0	1
461	0	1
544	0	1
571	0	1
2079	0	1
