counts	instances_pre	instances_post
1	7958707	7671977
2	4232834	4240416
3	2296214	2318948
4	1145060	1159765
5	523905	535552
6	226437	232239
7	91611	94171
8	35866	37129
9	13080	13528
10	5183	5250
11	1728	1751
12	872	797
13	249	203
14	170	108
15	88	30
16	97	46
17	64	9
18	59	19
19	52	1
20	41	1
21	42	6
22	40	4
23	28	4
24	33	7
25	30	3
26	31	2
27	25	2
28	26	3
29	25	3
30	24	3
31	18	4
32	24	3
33	20	4
34	14	2
35	16	7
36	22	1
37	15	5
38	19	9
39	24	8
40	14	7
41	12	7
42	19	8
43	9	1
44	19	9
45	15	8
46	14	1
47	14	9
48	14	4
49	21	8
50	13	5
51	9	2
52	5	2
53	15	5
54	11	6
55	12	5
56	16	8
57	4	3
58	11	6
59	12	5
60	8	3
61	13	8
62	9	4
63	6	3
64	3	2
65	6	1
66	5	3
67	11	7
68	10	5
69	8	3
70	5	4
71	4	1
72	7	5
73	5	2
74	4	2
75	4	1
76	7	1
77	6	0
78	4	2
79	6	2
80	3	2
81	5	5
82	1	2
83	3	2
84	2	1
85	5	3
86	5	5
87	3	1
88	3	1
89	2	1
90	2	1
91	2	2
92	0	3
93	3	2
94	0	1
95	3	1
96	1	2
98	0	1
99	4	2
100	0	1
101	3	0
102	0	1
103	2	4
104	2	2
105	2	1
106	2	0
107	2	1
108	6	4
109	2	3
110	3	3
111	3	0
112	2	0
113	1	0
114	0	1
116	2	0
117	1	0
118	1	0
119	4	3
120	0	1
121	1	0
122	1	0
123	0	1
124	3	1
125	0	1
126	2	2
127	1	0
128	1	1
129	0	1
130	2	0
133	1	0
134	0	1
135	0	1
136	0	2
137	0	1
138	0	1
139	1	2
140	0	3
141	0	1
142	1	2
143	0	1
144	0	3
145	0	1
146	1	0
147	1	2
148	0	1
149	0	2
150	0	1
151	0	1
153	0	2
154	1	0
155	0	1
156	0	2
157	1	1
158	1	1
165	0	1
166	0	2
167	0	1
170	1	0
171	0	1
173	1	0
175	0	1
177	0	2
178	0	1
181	0	1
182	1	0
184	0	1
185	0	1
190	0	1
191	0	1
192	1	0
193	0	2
196	0	1
198	1	1
199	0	1
200	0	1
201	0	2
209	2	0
210	0	1
212	0	1
215	0	1
216	0	1
217	0	1
219	0	2
221	0	1
222	0	1
223	0	1
231	0	1
232	0	1
237	0	1
238	0	1
239	0	1
240	0	1
244	0	1
247	0	1
251	0	1
255	0	4
260	0	1
280	0	1
285	0	1
286	0	1
301	0	1
302	0	1
308	0	1
311	0	1
313	0	1
315	0	1
319	0	1
322	0	1
329	0	1
333	0	1
346	0	1
348	0	1
352	0	1
357	0	2
387	0	1
393	0	1
406	0	1
418	0	1
419	0	1
421	0	1
423	0	1
425	0	2
440	0	1
455	0	1
486	0	1
487	0	1
491	0	1
511	0	1
512	0	1
513	0	1
554	0	1
555	0	1
569	0	1
573	0	1
587	0	1
638	0	1
672	0	1
676	0	1
682	0	1
902	0	1
1009	0	1
1189	0	1
1296	0	1
1428	0	1
1919	0	2
2137	0	1
2209	0	1
2366	0	1
4984	0	1
