counts	instances_pre	instances_post
1	3241960	2988490
2	1778125	1751598
3	1478232	1472449
4	1212749	1212221
5	956167	961247
6	727310	733079
7	538548	543630
8	385777	391348
9	267699	271853
10	182014	185324
11	118386	121176
12	75960	77749
13	46533	47797
14	28335	29265
15	16701	17245
16	9510	9802
17	5114	5327
18	3043	3183
19	1598	1673
20	985	1022
21	511	534
22	354	374
23	170	184
24	152	158
25	81	87
26	77	78
27	57	69
28	58	60
29	32	40
30	33	35
31	24	21
32	29	31
33	24	24
34	16	22
35	14	13
36	26	31
37	24	22
38	19	25
39	25	18
40	10	18
41	13	8
42	18	24
43	9	10
44	14	17
45	15	17
46	7	9
47	11	10
48	8	10
49	3	5
50	12	12
51	8	9
52	2	3
53	6	4
54	4	7
55	5	8
56	2	4
57	4	3
58	1	3
59	5	2
60	4	8
61	4	4
62	5	8
63	3	5
64	4	4
65	3	4
66	1	2
67	3	2
68	3	2
69	1	1
70	5	9
71	3	3
72	12	14
73	3	6
74	1	1
75	2	2
76	5	7
77	4	6
78	2	3
79	2	1
80	3	4
81	4	5
82	1	0
83	3	4
84	3	7
85	2	1
86	0	1
87	2	3
88	2	4
89	1	1
90	1	0
92	0	1
93	1	1
94	0	1
95	2	3
100	1	0
104	0	1
105	1	2
106	1	2
120	0	1
133	0	1
143	0	1
150	0	1
152	0	1
180	0	1
191	0	1
195	0	1
209	0	1
225	0	1
229	0	1
253	0	1
258	0	1
369	0	1
592	0	1
612	0	1
2293	0	1
