counts	instances_pre	instances_post
1	2151697	1817254
2	392890	361183
3	244108	230410
4	193896	185356
5	168357	162953
6	153698	149151
7	145759	142254
8	141876	139273
9	139282	136887
10	140403	138537
11	141911	140368
12	143612	141877
13	146758	145167
14	149313	148367
15	150573	149679
16	150921	150319
17	148641	148257
18	144603	144765
19	140234	140155
20	133719	134431
21	125805	126561
22	117933	118530
23	108968	109676
24	100850	101628
25	93026	93608
26	86413	86841
27	79465	79923
28	74048	74689
29	69175	69514
30	65320	65729
31	62129	62306
32	59140	59438
33	56349	56711
34	53880	54259
35	51192	51516
36	48752	49179
37	46329	46924
38	43852	44126
39	41588	42229
40	38194	38907
41	35689	36218
42	32684	33062
43	29830	30550
44	27229	27801
45	24361	24906
46	21890	22491
47	19092	19647
48	16943	17281
49	14833	15260
50	12692	13037
51	11124	11540
52	9373	9585
53	8064	8457
54	6693	6970
55	5463	5680
56	4770	4854
57	3724	3914
58	3176	3336
59	2663	2814
60	2197	2270
61	1845	1923
62	1529	1596
63	1228	1326
64	1028	1078
65	774	802
66	693	742
67	529	556
68	448	485
69	342	370
70	308	325
71	238	243
72	204	224
73	118	122
74	155	162
75	112	106
76	97	111
77	69	74
78	78	78
79	40	46
80	46	47
81	27	25
82	41	38
83	27	29
84	41	41
85	20	22
86	27	24
87	19	17
88	27	33
89	12	11
90	24	27
91	9	10
92	24	17
93	9	9
94	10	10
95	4	9
96	11	11
97	3	6
98	14	13
99	4	2
100	13	11
101	3	3
102	8	6
103	4	5
104	7	10
105	7	7
106	11	7
107	5	4
108	7	8
109	5	4
110	8	8
111	1	3
112	5	7
113	1	1
114	4	4
116	5	4
117	3	1
118	2	3
119	1	1
120	1	1
121	2	2
122	1	1
123	3	1
124	1	0
125	1	2
126	1	1
128	4	5
129	1	1
130	1	1
131	2	0
132	2	2
134	0	1
135	1	1
136	1	1
137	3	3
138	2	2
139	1	1
144	1	1
146	1	0
148	0	1
149	1	0
150	3	2
152	1	1
153	2	2
155	2	0
156	1	0
159	2	0
164	1	0
166	3	1
168	1	0
169	1	0
171	1	0
172	1	1
176	1	1
177	1	0
182	0	2
183	1	1
190	1	0
197	1	1
198	1	0
205	1	0
208	1	1
210	0	2
217	1	0
222	1	0
223	1	0
224	1	0
230	1	0
240	1	1
241	1	0
243	1	0
306	0	1
309	1	0
312	2	0
331	1	0
357	1	0
386	1	0
599	1	0
690	1	0
853	1	0
865	1	0
1609	1	0
2425	0	1
5709	0	1
26978	0	1
