counts	instances_pre	instances_post
1	9322026	8888055
2	4116902	4094378
3	2578566	2582049
4	1752007	1758553
5	1216859	1229141
6	853825	863001
7	592217	599478
8	406965	413947
9	274846	279925
10	182430	185992
11	117659	120742
12	75440	77357
13	45868	47353
14	28776	29640
15	16596	17216
16	10357	10717
17	5794	5986
18	3491	3637
19	1730	1767
20	1143	1195
21	605	615
22	402	396
23	177	163
24	178	180
25	63	56
26	81	60
27	37	25
28	59	50
29	21	12
30	42	30
31	18	1
32	38	16
33	17	19
34	23	8
35	13	3
36	17	10
37	8	2
38	10	5
39	13	3
40	10	3
41	7	1
42	7	3
43	8	1
44	9	2
45	8	4
46	7	1
47	7	2
48	8	4
49	11	0
50	8	1
51	9	1
52	4	1
53	11	0
54	5	1
55	9	0
56	7	0
57	4	1
58	7	0
59	7	1
60	8	0
61	8	0
62	3	0
63	4	0
64	5	0
65	2	0
66	4	0
67	3	1
68	3	0
69	3	0
70	4	1
71	7	2
72	1	0
73	7	2
74	2	0
75	4	0
76	5	0
77	3	0
78	2	0
79	1	0
80	1	0
81	7	1
83	3	0
84	2	0
85	3	0
86	4	1
87	3	0
88	3	0
89	2	0
90	1	0
91	2	0
92	1	0
93	3	0
94	2	0
95	1	0
96	2	0
97	1	0
98	2	0
99	2	0
101	2	0
102	2	1
103	1	1
104	1	0
107	2	0
108	7	1
109	2	1
110	2	0
111	1	0
112	0	1
113	3	0
114	1	0
115	2	0
116	4	0
117	2	0
118	2	0
119	1	0
120	2	0
121	0	1
123	2	0
125	2	0
126	5	0
127	3	0
128	1	0
129	1	0
130	2	0
131	3	0
133	1	0
134	1	0
135	2	0
136	1	0
137	2	0
139	3	0
140	2	0
141	2	0
142	4	0
143	1	0
144	1	0
145	3	0
146	6	0
147	1	0
148	2	0
149	3	0
150	1	0
151	5	0
152	1	0
155	0	1
158	2	0
161	1	0
162	0	1
163	2	0
164	1	1
165	3	0
167	1	0
168	1	0
170	1	1
172	1	0
173	1	0
175	1	1
176	1	1
180	2	0
181	2	0
182	0	1
183	1	0
185	2	0
186	1	0
188	1	0
189	1	0
190	1	0
197	1	0
198	1	0
199	2	0
201	3	0
203	0	1
204	1	0
205	1	0
206	1	1
207	1	0
208	1	0
209	1	0
212	1	0
222	1	0
223	3	0
225	0	1
227	0	1
229	1	0
232	2	0
236	0	1
239	1	0
240	1	0
242	1	0
243	1	0
245	0	1
247	2	0
251	1	0
252	1	0
253	1	0
257	1	0
261	0	1
262	0	1
264	1	0
266	1	0
267	1	0
268	1	0
269	0	1
270	1	0
272	2	0
273	1	0
277	1	0
280	0	1
282	2	0
283	2	0
285	1	0
286	1	0
288	1	0
295	1	0
297	1	0
300	1	0
302	1	0
303	1	1
308	1	0
311	1	0
320	1	0
327	1	0
329	1	0
330	1	0
337	1	0
345	1	0
356	1	0
358	1	0
362	1	0
363	1	0
375	1	0
393	0	1
397	1	0
404	0	1
406	1	0
414	1	0
427	1	1
449	0	1
463	1	0
478	0	1
499	1	0
514	1	0
518	1	0
520	1	0
524	1	0
550	2	0
576	1	0
598	1	0
608	1	0
625	1	0
627	1	0
662	2	0
699	1	0
712	1	0
732	1	0
780	1	0
791	0	4
818	1	0
858	1	0
867	0	1
901	1	0
917	1	0
924	1	0
1000	1	0
1045	1	0
1383	1	0
1456	0	1
1457	0	1
1708	1	0
1731	1	0
1987	1	0
2124	1	0
2305	1	0
3139	1	0
4448	1	0
24918	1	0
131222	0	1
