counts	instances_pre	instances_post
1	17234613	17059215
2	5088389	5122529
3	1470183	1488531
4	410058	416376
5	106479	108976
6	28717	29360
7	6800	6919
8	2101	2097
9	519	460
10	284	221
11	102	36
12	131	73
13	69	14
14	65	16
15	56	18
16	55	14
17	55	10
18	49	8
19	35	6
20	33	8
21	36	12
22	27	6
23	25	4
24	33	6
25	16	9
26	15	7
27	11	6
28	21	7
29	15	5
30	11	6
31	11	5
32	14	3
33	12	4
34	14	4
35	12	2
36	12	4
37	10	2
38	5	4
39	8	6
40	8	2
41	8	2
42	4	4
43	8	2
44	7	1
45	11	3
46	6	2
47	7	5
48	6	2
49	2	1
50	4	3
51	3	2
52	7	2
53	4	0
54	2	3
55	2	2
56	2	1
57	0	4
58	4	0
59	3	1
60	3	2
61	0	1
62	1	2
63	6	3
64	2	0
65	3	0
66	1	3
67	2	1
68	0	1
69	1	0
70	3	0
71	1	0
72	1	1
73	0	1
75	0	1
76	1	1
78	0	1
79	1	0
80	0	2
82	0	2
83	0	1
84	0	2
85	3	1
87	1	2
90	2	0
91	1	1
92	1	2
93	1	1
96	0	1
97	1	0
102	3	1
104	0	1
106	1	1
107	1	0
108	1	0
109	1	0
110	1	0
113	1	0
115	1	0
116	0	1
118	0	1
120	0	6
124	0	1
126	1	0
129	0	1
135	1	0
145	0	1
149	1	0
152	0	1
160	1	0
167	0	1
168	0	2
169	0	1
176	1	0
191	1	0
201	0	2
204	0	2
205	1	0
207	0	1
218	1	0
227	0	1
238	1	0
243	1	0
246	0	1
252	0	2
254	0	1
259	0	1
296	1	0
299	1	0
309	0	1
311	1	0
334	1	0
353	1	0
356	1	0
370	1	0
400	0	2
640	0	1
4558	1	0
28809	0	1
