counts	instances_pre	instances_post
1	10057520	9826410
2	4628840	4646347
3	2084510	2109158
4	871577	883486
5	335613	342699
6	124615	127654
7	42504	43570
8	15163	15553
9	4786	4899
10	1766	1763
11	486	462
12	379	352
13	107	91
14	92	60
15	52	40
16	64	37
17	34	15
18	26	7
19	28	10
20	24	11
21	14	11
22	10	4
23	13	5
24	15	2
25	9	4
26	9	7
27	9	2
28	6	3
29	5	3
30	4	4
31	3	3
32	3	0
33	2	0
34	2	5
35	5	2
36	3	2
37	4	1
38	1	6
39	1	0
40	3	0
41	3	2
42	3	2
43	2	2
44	1	0
45	1	1
47	1	2
48	1	2
50	0	2
51	1	3
52	2	3
53	0	1
56	1	1
58	1	2
59	1	0
60	0	3
61	1	3
63	2	1
64	1	1
65	1	2
67	0	4
71	0	1
73	0	2
78	1	0
80	0	3
81	0	1
83	0	1
85	0	1
86	0	1
88	0	1
89	1	0
91	0	1
92	0	1
93	0	1
97	0	1
98	0	1
103	0	1
115	1	0
124	0	1
126	0	2
129	0	1
132	0	1
140	0	1
155	0	1
157	0	1
165	0	1
166	0	1
171	0	1
177	0	1
180	0	1
182	0	1
189	0	1
192	0	1
196	0	1
220	0	1
226	0	1
227	0	1
255	0	1
311	0	1
340	0	1
368	0	1
405	0	1
476	0	1
802	0	1
1082	0	1
4449	0	1
