counts	instances_pre	instances_post
1	17085539	16756133
2	6712481	6747374
3	2735894	2769702
4	1080650	1095556
5	403236	412144
6	148805	152257
7	51327	52657
8	18963	19440
9	6676	6819
10	2871	2849
11	1260	1224
12	865	821
13	484	403
14	420	370
15	266	223
16	226	167
17	148	101
18	143	99
19	74	45
20	91	41
21	86	38
22	60	25
23	45	12
24	49	11
25	37	7
26	35	7
27	35	8
28	43	5
29	29	7
30	33	3
31	35	4
32	25	5
33	19	2
34	27	3
35	21	3
36	25	5
37	19	2
38	14	1
39	24	2
40	11	0
41	15	2
42	22	4
43	17	1
44	21	4
45	8	2
46	10	4
47	13	6
48	15	2
49	10	2
50	14	6
51	15	4
52	12	2
53	6	4
54	12	1
55	5	3
56	9	0
57	5	0
58	12	3
59	4	2
60	9	2
61	17	0
62	7	0
63	6	0
64	9	0
65	9	0
66	7	2
67	2	1
68	10	2
69	13	1
70	9	3
71	5	0
72	3	3
73	4	0
74	5	1
75	6	0
76	3	1
77	4	2
78	3	1
79	7	4
80	5	0
81	5	4
82	6	0
83	2	2
84	4	0
85	6	1
86	4	0
87	5	0
88	2	0
89	2	0
90	5	0
91	2	0
92	0	1
93	3	1
94	4	1
95	1	0
96	3	2
97	5	1
98	2	0
99	3	1
100	3	0
101	2	0
102	4	0
103	4	0
104	1	0
105	4	0
106	6	2
107	5	0
108	1	1
109	3	0
110	3	2
111	2	2
112	1	2
114	2	2
115	1	2
117	1	1
118	1	3
119	1	1
120	4	2
121	4	1
122	1	0
123	0	2
124	1	0
125	1	0
126	2	0
127	2	0
128	1	0
129	3	0
130	0	1
131	3	1
132	2	0
133	0	2
134	1	0
135	1	1
136	2	1
137	1	0
138	2	0
139	1	0
141	0	1
142	1	1
143	2	1
144	0	1
145	1	0
146	1	0
148	2	1
150	0	1
151	0	1
152	1	1
153	2	1
156	1	0
157	1	0
159	3	0
160	3	0
164	2	1
166	0	1
168	1	0
172	1	0
174	1	0
175	1	0
176	2	0
177	0	2
178	1	1
180	0	1
184	1	0
185	2	0
188	0	1
192	0	1
194	1	0
195	1	0
196	1	0
199	1	0
200	0	1
201	1	1
203	1	0
208	0	2
209	2	0
210	0	1
213	1	0
214	1	0
215	1	0
223	1	0
234	1	0
237	0	1
238	1	0
239	2	0
240	1	0
241	2	0
242	1	0
247	1	0
250	1	0
252	2	0
259	1	0
263	0	1
264	1	0
267	0	1
272	1	0
283	0	1
284	1	0
291	1	0
298	0	1
301	1	0
302	1	0
304	1	0
306	1	0
309	1	0
334	1	0
335	1	0
337	1	0
350	0	1
352	0	1
356	0	1
370	1	0
386	1	0
403	1	0
414	1	0
431	0	1
437	1	0
443	1	0
444	1	0
451	0	4
456	0	1
496	0	1
510	0	1
533	0	1
538	0	1
585	1	0
654	0	1
665	1	0
672	0	1
766	1	0
767	1	0
808	0	1
830	0	2
844	1	0
846	1	0
848	0	1
862	1	0
866	1	0
909	0	1
1003	1	0
1041	1	0
1590	1	0
10381	1	0
88660	0	1
