counts	instances_pre	instances_post
1	4374757	3995461
2	1922112	1884991
3	1490321	1478363
4	1237786	1233885
5	1030180	1033415
6	850028	854349
7	685828	689511
8	547994	553245
9	429723	435079
10	333132	337659
11	253630	258153
12	190616	193966
13	139768	142790
14	101424	103963
15	70482	72284
16	49394	50866
17	32774	33783
18	21930	22760
19	13772	14286
20	9220	9617
21	5646	5878
22	3688	3796
23	2094	2192
24	1524	1563
25	808	829
26	689	701
27	281	287
28	341	323
29	117	114
30	186	178
31	59	54
32	103	105
33	34	27
34	65	57
35	22	18
36	62	54
37	15	11
38	25	15
39	21	11
40	26	22
41	6	5
42	18	14
43	12	9
44	21	15
45	10	4
46	14	12
47	5	0
48	22	18
49	4	3
50	8	5
51	5	3
52	4	4
53	5	6
54	5	3
55	7	4
56	4	3
57	7	5
58	4	2
59	3	0
60	5	3
61	1	3
62	0	2
63	0	1
64	4	2
65	1	2
66	2	2
67	4	1
68	5	2
69	4	2
70	1	1
71	0	1
72	3	4
74	1	1
75	0	1
77	0	2
78	2	1
79	0	1
80	1	1
81	1	3
82	1	1
84	2	2
86	0	1
87	0	2
88	1	1
89	2	2
90	0	3
91	1	0
92	0	1
95	2	1
96	1	1
98	0	1
99	2	0
100	0	1
102	0	1
103	2	0
104	0	1
105	1	0
111	0	1
116	0	1
118	0	1
119	0	1
120	1	1
122	1	1
123	0	2
124	0	1
126	0	1
127	0	1
128	0	1
133	0	1
134	0	1
135	0	1
139	0	2
140	1	1
146	1	0
153	0	1
160	0	2
161	0	1
162	0	1
164	0	1
172	0	1
175	0	1
187	0	1
192	0	1
193	0	4
195	0	1
196	0	1
211	0	3
223	0	1
231	0	1
245	0	1
246	0	1
250	0	1
256	0	1
268	0	1
273	0	1
277	0	1
295	0	1
297	0	1
298	0	1
303	0	1
309	0	1
314	0	1
322	0	2
333	0	1
369	0	1
377	0	1
403	0	1
405	0	1
413	0	1
418	0	1
438	0	1
490	0	1
568	0	1
727	0	1
910	0	1
949	0	1
994	0	1
1092	0	1
1258	0	1
1463	0	1
1480	0	1
1887	0	1
4972	0	1
