counts	instances_pre	instances_post
1	2633820	2208259
2	483346	440089
3	280188	261121
4	218315	206396
5	193751	185911
6	187509	181142
7	188025	182631
8	193948	190063
9	201400	197734
10	206417	203634
11	210378	208344
12	208802	207841
13	205010	204570
14	196939	196819
15	184983	185439
16	174279	174493
17	160979	161380
18	148399	149125
19	138950	139361
20	129827	130181
21	120970	121626
22	114983	115282
23	109067	109601
24	103878	104852
25	97125	98014
26	91988	92740
27	85769	87061
28	79191	80552
29	71665	72823
30	64545	66150
31	57730	59093
32	50729	52160
33	43652	45013
34	37387	38500
35	31709	32964
36	26264	27200
37	22207	23090
38	18098	18758
39	14666	15404
40	11948	12453
41	9414	9934
42	7436	7824
43	5709	5941
44	4647	4926
45	3642	3814
46	2728	2886
47	2079	2158
48	1635	1746
49	1225	1314
50	1024	967
51	714	738
52	608	655
53	435	445
54	356	343
55	284	263
56	199	189
57	172	157
58	156	126
59	133	93
60	106	94
61	85	69
62	85	63
63	50	28
64	68	49
65	59	30
66	54	38
67	27	15
68	58	38
69	42	19
70	46	28
71	32	12
72	35	18
73	27	9
74	31	11
75	34	10
76	23	10
77	28	12
78	41	16
79	19	5
80	24	8
81	26	10
82	19	10
83	25	4
84	24	9
85	15	2
86	14	2
87	26	6
88	18	5
89	13	2
90	16	6
91	29	5
92	16	2
93	15	2
94	7	0
95	14	2
96	18	5
97	14	0
98	9	1
99	15	6
100	10	1
101	9	2
102	15	2
103	10	3
104	18	4
105	13	2
106	8	0
107	11	3
108	12	4
109	16	3
110	15	3
111	17	0
112	9	0
113	8	1
114	14	3
115	9	3
116	13	3
117	12	2
118	10	5
119	8	1
120	13	2
121	13	4
122	8	2
123	10	2
124	10	4
125	7	2
126	8	1
127	15	6
128	7	0
129	8	2
130	11	2
131	16	3
132	8	1
133	12	0
134	13	0
135	3	1
136	10	2
137	12	2
138	8	3
139	9	4
140	6	1
141	4	0
142	4	3
143	8	1
144	8	2
145	8	1
146	10	2
147	5	1
148	5	1
149	7	2
150	5	3
151	13	2
152	7	0
153	4	3
154	5	0
155	13	2
156	5	2
157	9	3
158	3	0
159	4	0
160	3	4
161	9	3
162	4	1
163	9	1
164	9	1
165	7	1
166	4	0
167	6	1
168	4	1
169	1	0
170	4	3
171	4	3
172	7	6
173	3	3
174	5	1
175	7	5
176	3	2
177	10	2
178	2	1
