counts	instances_pre	instances_post
1	4352209	4045628
2	2397355	2364716
3	1889771	1885691
4	1478543	1480127
5	1108546	1119096
6	804676	814046
7	564945	571520
8	383895	390944
9	249180	254027
10	158587	162085
11	95852	98303
12	57741	59366
13	32789	33744
14	19034	19688
15	9773	10106
16	5704	5919
17	2705	2817
18	1850	1917
19	749	759
20	544	571
21	193	205
22	237	238
23	80	82
24	122	134
25	28	30
26	56	54
27	18	20
28	38	42
29	4	6
30	30	35
31	2	3
32	7	10
33	4	4
34	8	7
35	1	2
36	7	9
37	3	1
39	0	3
40	3	4
41	1	2
42	1	2
43	1	3
44	1	2
45	2	2
46	0	2
48	0	2
49	0	1
53	1	1
54	1	1
56	0	2
57	0	1
58	0	1
60	0	1
61	0	1
62	0	1
67	0	1
68	0	1
70	0	2
71	0	1
75	0	1
79	0	1
80	0	1
86	0	2
96	1	1
98	0	1
100	0	1
106	0	1
133	0	1
139	0	1
150	0	1
152	0	1
158	0	1
163	0	1
169	0	1
177	0	1
179	0	1
185	0	2
252	0	1
336	0	1
424	0	1
1485	0	1
