counts	instances_pre	instances_post
1	2600085	2303709
2	1260829	1223744
3	1131382	1117090
4	1027872	1021756
5	905005	907761
6	766959	770550
7	631051	634995
8	502979	508962
9	387447	392787
10	288698	293172
11	207406	212034
12	144947	147992
13	97085	99577
14	63941	65773
15	40646	41988
16	25540	26247
17	15332	16009
18	9431	9783
19	5320	5525
20	3309	3431
21	1753	1758
22	1148	1182
23	620	626
24	409	392
25	214	201
26	201	166
27	94	83
28	81	63
29	36	18
30	79	48
31	34	12
32	37	19
33	33	12
34	33	8
35	17	2
36	36	16
37	30	7
38	18	4
39	16	4
40	25	11
41	16	3
42	20	7
43	16	8
44	21	14
45	18	4
46	19	6
47	13	9
48	18	7
49	9	4
50	9	2
51	14	4
52	13	3
53	8	4
54	9	3
55	15	3
56	12	5
57	13	5
58	4	2
59	9	1
60	4	1
61	13	7
62	7	4
63	12	3
64	7	6
65	5	4
66	6	3
67	6	3
68	14	4
69	6	2
70	7	4
71	6	2
72	4	1
73	6	2
74	4	1
75	7	1
76	2	0
77	3	1
78	7	3
79	3	1
80	2	3
81	4	0
82	3	2
83	6	1
84	8	2
85	6	1
86	3	1
87	5	2
88	1	1
89	4	1
90	3	3
91	6	3
92	5	2
93	4	1
94	0	1
95	1	1
96	0	1
98	2	2
99	0	2
100	4	1
101	2	5
102	4	1
103	4	1
104	3	1
105	1	1
106	2	2
107	3	0
108	0	3
110	2	0
111	1	1
112	1	2
113	3	1
114	1	1
116	1	1
117	1	1
118	4	3
119	2	2
120	1	0
122	0	2
123	0	1
124	1	1
125	2	2
126	2	0
128	0	1
129	1	0
131	0	1
132	0	3
133	1	0
134	1	1
135	0	1
137	1	1
140	1	0
141	1	1
143	1	1
146	1	1
147	2	0
148	0	1
149	0	1
151	1	1
152	0	1
155	1	0
156	1	0
157	0	1
159	0	1
160	1	0
162	1	2
163	0	1
164	0	1
167	0	1
168	1	1
171	0	6
173	0	1
174	1	0
176	0	1
177	0	1
179	1	0
184	0	1
186	0	2
187	1	0
188	0	1
189	0	1
190	0	1
193	1	1
194	0	2
199	0	1
200	0	1
201	0	1
204	0	1
205	1	0
206	0	3
208	0	1
209	0	1
210	0	2
214	0	1
215	0	1
216	0	1
218	0	1
221	0	1
222	0	1
224	0	1
225	0	1
228	0	1
234	0	2
239	0	1
240	0	1
244	0	1
246	0	1
248	0	1
253	0	1
255	0	1
256	0	1
266	0	1
269	0	1
278	0	1
284	0	2
286	0	1
293	0	1
294	0	1
304	0	1
311	0	1
315	0	1
316	0	1
322	0	1
334	0	1
341	0	1
348	0	1
349	0	2
360	0	1
363	0	1
368	0	1
374	0	1
378	0	2
383	0	2
389	0	1
397	0	1
400	0	1
408	0	1
410	0	1
419	0	1
422	0	1
439	0	1
441	0	1
443	0	1
453	0	1
481	0	1
486	0	1
498	0	1
529	0	1
551	0	1
556	0	1
572	0	1
586	0	1
635	0	1
678	0	1
712	0	1
759	0	1
828	0	1
861	0	1
911	0	1
912	0	1
1012	0	1
1043	0	1
1055	0	1
1094	0	1
1111	0	1
1151	0	1
1286	0	1
1573	0	1
1906	0	1
2193	0	1
2560	0	1
2668	0	1
3214	0	1
4160	0	1
