counts	instances_pre	instances_post
1	4861133	4593115
2	2901656	2890314
3	1959605	1972555
4	1234802	1247352
5	725873	738429
6	403123	411050
7	210309	215133
8	106385	109535
9	49886	51509
10	23603	24396
11	10070	10439
12	4776	4966
13	1823	1907
14	1007	1055
15	342	349
16	258	265
17	81	89
18	103	103
19	24	22
20	34	34
21	12	14
22	13	11
23	6	5
24	12	14
25	3	4
26	2	2
27	1	1
28	1	1
30	6	6
31	0	1
33	1	0
34	0	1
35	1	0
36	1	1
37	0	1
38	1	0
39	1	1
44	0	1
47	0	1
50	1	1
52	1	1
54	1	1
56	1	1
77	1	0
119	0	1
135	0	1
211	0	1
864	0	1
