counts	instances_pre	instances_post
1	2338531	1883481
2	409600	361866
3	280659	258217
4	262240	247922
5	272231	262478
6	289343	282153
7	306558	300869
8	320322	316989
9	322590	320105
10	317951	316187
11	306950	306412
12	290660	290396
13	275191	274982
14	259051	259299
15	243680	243985
16	231424	232521
17	218319	219352
18	206370	207517
19	191935	193285
20	177011	179439
21	160866	163260
22	143784	146051
23	125532	128045
24	107473	110419
25	91077	93694
26	76044	78433
27	62681	64744
28	50056	51876
29	39531	41164
30	31191	32508
31	23922	25186
32	18375	19290
33	13868	14504
34	10396	10961
35	7614	8011
36	5786	6191
37	4157	4307
38	3026	3310
39	2073	2195
40	1632	1750
41	1060	1155
42	908	933
43	506	590
44	514	523
45	283	312
46	269	278
47	161	169
48	171	177
49	90	98
50	120	124
51	58	57
52	71	75
53	41	45
54	61	57
55	17	16
56	37	36
57	25	21
58	36	34
59	11	8
60	33	32
61	14	13
62	19	19
63	3	1
64	14	14
65	9	9
66	15	16
67	10	8
68	8	6
69	12	7
70	6	8
71	2	3
72	7	13
73	1	1
74	4	3
75	7	6
76	5	5
77	2	2
78	7	5
80	4	2
81	3	3
82	2	1
83	2	1
84	3	1
86	1	1
87	4	3
88	3	4
89	2	1
90	4	3
91	1	1
92	0	1
93	1	2
94	2	0
95	1	1
96	4	3
98	4	3
99	1	1
100	3	2
101	1	0
103	1	0
104	2	2
106	0	1
109	0	1
110	1	0
111	2	1
112	0	1
114	1	1
115	0	1
116	1	0
117	2	0
119	0	4
123	1	0
124	1	1
132	1	0
136	0	1
142	1	0
148	1	0
151	0	1
158	1	0
159	1	0
160	1	1
163	1	0
165	0	1
170	1	0
174	0	1
179	1	0
192	1	0
193	1	0
198	1	0
201	0	1
210	1	1
214	1	0
218	0	2
219	0	1
224	1	0
226	1	0
241	0	1
245	0	1
255	0	1
258	1	0
280	1	0
330	0	1
382	0	1
394	0	1
543	1	0
660	1	0
662	0	1
671	0	1
898	1	0
1223	0	1
1300	1	0
2867	0	1
4989	0	1
17278	0	1
