counts	instances_pre	instances_post
1	8145852	7817003
2	4692289	4684446
3	2902102	2921748
4	1677345	1692531
5	905670	922134
6	461999	471115
7	220039	225041
8	101869	104699
9	44281	45648
10	19610	20272
11	7936	8250
12	3837	3975
13	1578	1635
14	956	966
15	563	575
16	496	504
17	324	314
18	318	320
19	242	253
20	232	227
21	239	236
22	185	185
23	158	163
24	162	161
25	123	124
26	123	127
27	99	95
28	108	116
29	112	107
30	83	90
31	68	75
32	74	75
33	66	60
34	48	51
35	54	58
36	31	31
37	36	38
38	30	30
39	22	24
40	18	20
41	26	27
42	16	15
43	15	19
44	14	10
45	4	7
46	8	8
47	3	4
48	3	1
49	1	2
50	3	4
51	3	4
52	1	1
53	2	3
54	1	1
56	2	2
60	0	1
61	1	1
62	1	1
64	0	1
65	0	2
67	0	1
68	0	1
69	0	1
72	0	1
77	0	1
83	0	1
86	0	1
142	0	1
204	0	1
297	0	1
335	0	1
358	0	1
376	0	1
1351	0	1
